"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0106022~positive regulation of vesicle docking",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"6812"
"GO:2000367~regulation of acrosomal vesicle exocytosis",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"6812"
"GO:1905143~eukaryotic translation initiation factor 2 complex assembly",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"8872"
"GO:0035581~sequestering of extracellular ligand from receptor",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"4179"
"GO:2001040~positive regulation of cellular response to drug",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"51684"
"GO:0003878~ATP citrate synthase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"47"
"GO:0004801~transaldolase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"6888"
"GO:0103023~ITPase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"953"
"GO:0004573~Glc3Man9GlcNAc2 oligosaccharide glucosidase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"7841"
"GO:0033721~aldehyde dehydrogenase (NADP+) activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"51109"
"GO:0071566~UFM1 activating enzyme activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"79876"
"GO:0051750~delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"1891"
"GO:0015926~glucosidase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"7841"
"GO:1990400~mitochondrial ribosomal large subunit rRNA binding",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"84881"
"GO:0160106~tRNA (adenine(9)-N1)-methyltransferase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"54931"
"R-HSA-4793954~Defective MOGS causes CDG-2b",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"7841"
"R-HSA-6791055~TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"6888"
"R-HSA-6791462~TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0632579957565759,"6888"
"GO:0141191~negative regulation of HRI-mediated signaling",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"23352"
"GO:0021691~cerebellar Purkinje cell layer maturation",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"372"
"GO:0000964~mitochondrial RNA 5'-end processing",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"54931"
"GO:0018401~peptidyl-proline hydroxylation to 4-hydroxy-L-proline",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"5034"
"GO:0045186~zonula adherens assembly",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"10152"
"GO:1990390~protein K33-linked ubiquitination",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"9870"
"GO:0061031~endodermal digestive tract morphogenesis",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"3398"
"GO:1902175~regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0817867100842726,"5034"
