"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0097275~intracellular ammonium homeostasis",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"2752"
"GO:0097341~zymogen inhibition",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"5045"
"GO:0090472~dibasic protein processing",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"5045"
"GO:0071919~G-quadruplex DNA formation",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"7555"
"GO:1905580~positive regulation of ERBB3 signaling pathway",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"57142"
"GO:0002419~T cell mediated cytotoxicity directed against tumor cell target",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"3105"
"GO:0120078~cell adhesion involved in sprouting angiogenesis",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"57142"
"R-HSA-171286~Synthesis and processing of ENV and VPU",0.0294117647058824,Inf,580.735294117647,0.00172195492529736,0.0678847614780692,"5045"
"GO:0060297~regulation of sarcomere organization",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"11214"
"GO:0032902~nerve growth factor production",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"5045"
"GO:0006542~glutamine biosynthetic process",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"2752"
"GO:2000568~positive regulation of memory T cell activation",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"3105"
"GO:2001213~negative regulation of vasculogenesis",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"57142"
"GO:2001187~positive regulation of CD8-positive, alpha-beta T cell activation",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"3105"
"GO:0032804~negative regulation of low-density lipoprotein particle receptor catabolic process",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"5045"
"GO:0031022~nuclear migration along microfilament",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"23224"
"GO:0004525~ribonuclease III activity",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"23405"
"GO:0004356~glutamine synthetase activity",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"2752"
"WP2943:Hypoxia mediated EMT and stemness",0.0285714285714286,586.262516022933,290.367647058824,0.00344103178573829,0.0759797918700871,"23405"
"GO:0014040~positive regulation of Schwann cell differentiation",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"23405"
"GO:0098795~global gene silencing by mRNA cleavage",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"23405"
"GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"3105"
"GO:0035441~cell migration involved in vasculogenesis",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"57142"
"GO:2000172~regulation of branching morphogenesis of a nerve",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"57142"
"GO:1904749~regulation of protein localization to nucleolus",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"2752"
"GO:1905523~positive regulation of macrophage migration",0.0277777777777778,297.350114782672,193.578431372549,0.00515723524616896,0.0759797918700871,"57142"
