"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0002184~cytoplasmic translational termination",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"2107"
"GO:0072736~cellular response to tert-butyl hydroperoxide",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"25942"
"GO:0001869~negative regulation of complement activation, lectin pathway",0.0108695652173913,Inf,107.309782608696,8.63727271496014e-05,0.0142568982751311,"2, 710"
"GO:1904247~positive regulation of polynucleotide adenylyltransferase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"8106"
"GO:0090178~regulation of establishment of planar polarity involved in neural tube closure",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"10427"
"GO:0051595~response to methylglyoxal",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"25942"
"GO:0051261~protein depolymerization",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"9525"
"GO:1900369~negative regulation of post-transcriptional gene silencing by regulatory ncRNA",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"103"
"GO:1901301~regulation of cargo loading into COPII-coated vesicle",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"10427"
"GO:0048259~regulation of receptor-mediated endocytosis",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"4043"
"GO:0160176~magnesium ion transport from cytosol to endoplasmic reticulum",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"9772"
"GO:1905554~negative regulation of blood vessel branching",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"1500"
"GO:0090085~regulation of protein deubiquitination",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"83737"
"GO:0002566~somatic diversification of immune receptors via somatic mutation",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"103"
"GO:1901194~negative regulation of formation of translation preinitiation complex",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"23521"
"GO:1904828~positive regulation of hydrogen sulfide biosynthetic process",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"6667"
"GO:2000011~regulation of adaxial/abaxial pattern formation",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"648"
"GO:1903025~regulation of RNA polymerase II regulatory region sequence-specific DNA binding",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"64324"
"GO:1904797~negative regulation of core promoter binding",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"5663"
"GO:0036483~neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"7009"
"GO:1904568~cellular response to wortmannin",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"6667"
"GO:0004312~fatty acid synthase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"2194"
"GO:0140777~protein-containing complex stabilizing activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"64756"
"GO:0008079~translation termination factor activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"2107"
"GO:0120147~formylglycine-generating oxidase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"285362"
"GO:0008117~sphinganine-1-phosphate aldolase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"8879"
"GO:0102571~[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"10724"
"GO:0004313~[acyl-carrier-protein] S-acetyltransferase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"2194"
"GO:0015444~P-type magnesium transporter activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"9772"
"GO:0051786~all-trans-retinol 13,14-reductase activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"54884"
"GO:0000386~second spliceosomal transesterification activity",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"10569"
"GO:0031177~phosphopantetheine binding",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"2194"
"GO:0106080~GATOR1 complex binding",0.00543478260869565,Inf,107.309782608696,0.00931881488984554,0.151919692123963,"3276"
"GO:0051438~regulation of ubiquitin-protein transferase activity",0.0108108108108108,214.09215048264,71.5398550724638,0.000257525734876224,0.0236587630223257,"10116, 9529"
"GO:0016182~synaptic vesicle budding from endosome",0.0108108108108108,214.09215048264,71.5398550724638,0.000257525734876224,0.0236587630223257,"164, 8943"
"GO:1900116~extracellular negative regulation of signal transduction",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"4043"
"GO:0090135~actin filament branching",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"57175"
"GO:0061084~negative regulation of protein refolding",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"9529"
"GO:0010037~response to carbon dioxide",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"2"
"GO:0097210~response to gonadotropin-releasing hormone",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"6938"
"GO:0090083~regulation of inclusion body assembly",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"9529"
"GO:1903526~negative regulation of membrane tubulation",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"8976"
"GO:0006403~RNA localization",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"24148"
"GO:1903393~positive regulation of adherens junction organization",0.00540540540540541,106.83009578392,53.6548913043478,0.0185512570525417,0.192132823042206,"118"
