"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0120323~lipid ubiquitination",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"57674"
"GO:1902629~regulation of mRNA stability involved in cellular response to UV",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"4869"
"GO:0033313~meiotic cell cycle checkpoint signaling",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"54888"
"GO:0060699~regulation of endoribonuclease activity",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"4869"
"GO:0045763~negative regulation of amino acid metabolic process",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"10295"
"GO:0000710~meiotic mismatch repair",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"2956"
"GO:0072308~negative regulation of metanephric nephron tubule epithelial cell differentiation",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"6772"
"GO:0106027~neuron projection organization",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"2932"
"GO:0071839~apoptotic process in bone marrow cell",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"598"
"GO:0070143~mitochondrial alanyl-tRNA aminoacylation",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"57505"
"GO:0032272~negative regulation of protein polymerization",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"7417"
"GO:1900249~positive regulation of cytoplasmic translational elongation",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"10322"
"GO:0010034~response to acetate",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"1147"
"GO:0048291~isotype switching to IgG isotypes",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"3329"
"GO:0060735~regulation of eIF2 alpha phosphorylation by dsRNA",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"4869"
"GO:0032938~negative regulation of translation in response to oxidative stress",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"5371"
"GO:0000160~phosphorelay signal transduction system",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"4831"
"GO:1904828~positive regulation of hydrogen sulfide biosynthetic process",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"6667"
"GO:1905711~response to phosphatidylethanolamine",0.00813008130081301,Inf,160.528455284553,0.00622942517092961,0.0384460267148404,"54675"
