"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0015679~plasma membrane copper ion transport",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"1317"
"GO:0045210~FasL biosynthetic process",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"22822"
"GO:0140962~multicellular organismal-level chemical homeostasis",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"3988"
"GO:0071283~cellular response to iron(III) ion",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"567"
"GO:0006713~glucocorticoid catabolic process",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"7533"
"GO:0008216~spermidine metabolic process",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"1725"
"GO:0060792~sweat gland development",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"2131"
"GO:0042983~amyloid precursor protein biosynthetic process",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"23385"
"GO:0085017~entry into host cell by a symbiont-containing vacuole",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"3685"
"GO:0048239~negative regulation of DNA recombination at telomere",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"54386"
"GO:0042247~establishment of planar polarity of follicular epithelium",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"9948"
"GO:0044338~canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"1499"
"GO:1903526~negative regulation of membrane tubulation",0.0106382978723404,Inf,105.026595744681,9.01793655164942e-05,0.0127286504438281,"1785, 8976"
"GO:0072497~mesenchymal stem cell differentiation",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"1499"
"GO:1904411~positive regulation of secretory granule organization",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"5007"
"GO:0039692~single stranded viral RNA replication via double stranded DNA intermediate",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"6598"
"GO:1901835~positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"7538"
"GO:0097753~membrane bending",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"8301"
"GO:1905161~protein localization to phagocytic vesicle",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"8887"
"GO:0046546~development of primary male sexual characteristics",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"10184"
"GO:1902601~silver ion transmembrane transport",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"1317"
"GO:0002524~hypersensitivity",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"2131"
"GO:0060506~smoothened signaling pathway involved in lung development",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"2131"
"GO:1904531~positive regulation of actin filament binding",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"25"
"GO:1904762~positive regulation of myofibroblast differentiation",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"142"
"GO:0072175~epithelial tube formation",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"5420"
"GO:0140754~reorganization of cellular membranes to establish viral sites of replication",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"5297"
"GO:0035964~COPI-coated vesicle budding",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"10972"
"GO:1905051~regulation of base-excision repair",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"142"
"GO:0036339~lymphocyte adhesion to endothelial cell of high endothelial venule",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"2131"
"GO:0106272~protein localization to ERGIC",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"10972"
"GO:1902003~regulation of amyloid-beta formation",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"10972"
"GO:0048199~vesicle targeting, to, from or within Golgi",0.00531914893617021,Inf,105.026595744681,0.00952139782223349,0.114808914078963,"10972"
