"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0032307~negative regulation of prostaglandin secretion",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"2182"
"GO:0070150~mitochondrial glycyl-tRNA aminoacylation",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"2617"
"GO:0051098~regulation of binding",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"4087"
"GO:0072749~cellular response to cytochalasin B",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"60"
"GO:1903945~positive regulation of hepatocyte apoptotic process",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"6789"
"GO:0090178~regulation of establishment of planar polarity involved in neural tube closure",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"10427"
"GO:1905031~regulation of membrane repolarization during cardiac muscle cell action potential",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"2316"
"GO:0051623~positive regulation of norepinephrine uptake",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"60"
"GO:0002505~antigen processing and presentation of polysaccharide antigen via MHC class II",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"55207"
"GO:0002747~antigen processing and presentation following phagocytosis",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"55207"
"GO:0070444~oligodendrocyte progenitor proliferation",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"54468"
"GO:2000900~cyclodextrin metabolic process",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"4864"
"GO:0072715~cellular response to selenite ion",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"9775"
"GO:1904570~negative regulation of selenocysteine incorporation",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"9775"
"GO:1901301~regulation of cargo loading into COPII-coated vesicle",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"10427"
"GO:1903387~positive regulation of homophilic cell adhesion",0.00444444444444444,Inf,87.7555555555556,0.0113952899468219,0.112902926952794,"25930"
