"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:1903977~positive regulation of glial cell migration",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"1399"
"GO:0048687~positive regulation of sprouting of injured axon",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"23369"
"GO:1903891~regulation of ATF6-mediated unfolded protein response",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"3309"
"GO:0062208~positive regulation of pattern recognition receptor signaling pathway",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"25921"
"GO:0060696~regulation of phospholipid catabolic process",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"3417"
"GO:0060904~regulation of protein folding in endoplasmic reticulum",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"3309"
"GO:1903463~regulation of mitotic cell cycle DNA replication",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10269"
"GO:0072595~maintenance of protein localization in organelle",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10959"
"GO:0002936~bradykinin biosynthetic process",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"26258"
"GO:0001710~mesodermal cell fate commitment",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"4086"
"GO:0097753~membrane bending",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"8301"
"GO:0070302~regulation of stress-activated protein kinase signaling cascade",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10269"
"GO:2000730~regulation of termination of RNA polymerase I transcription",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10269"
"GO:1904531~positive regulation of actin filament binding",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"25"
"GO:0106027~neuron projection organization",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"2932"
"GO:0006117~acetaldehyde metabolic process",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"5970"
"GO:0036085~GDP-fucose import into Golgi lumen",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"55343"
"GO:0035037~sperm entry",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"7337"
"GO:0018021~peptidyl-histidine methylation",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"84193"
"GO:1904649~regulation of fat cell apoptotic process",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10558"
"GO:0035964~COPI-coated vesicle budding",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10972"
"GO:0043045~epigenetic programming of gene expression",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"1786"
"GO:0061755~positive regulation of circulating fibrinogen levels",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"2683"
"GO:1903897~regulation of PERK-mediated unfolded protein response",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"3309"
"GO:1901036~positive regulation of L-glutamine import across plasma membrane",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"81539"
"GO:0106272~protein localization to ERGIC",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10972"
"GO:1902003~regulation of amyloid-beta formation",0.00564971751412429,Inf,111.553672316384,0.00896429475816674,0.0492085261052972,"10972"
