"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0070150~mitochondrial glycyl-tRNA aminoacylation",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2617"
"GO:1904247~positive regulation of polynucleotide adenylyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"8106"
"GO:1903945~positive regulation of hepatocyte apoptotic process",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6789"
"GO:0072579~glycine receptor clustering",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"10243"
"GO:1905128~positive regulation of axo-dendritic protein transport",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"11127"
"GO:2000771~positive regulation of establishment or maintenance of cell polarity regulating cell shape",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"11127"
"GO:0033313~meiotic cell cycle checkpoint signaling",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"54888"
"GO:0070444~oligodendrocyte progenitor proliferation",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"54468"
"GO:1904583~response to polyamine macromolecule",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"1291"
"GO:1903387~positive regulation of homophilic cell adhesion",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"25930"
"GO:0006168~adenine salvage",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"353"
"GO:0071879~positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2931"
"GO:0180034~co-transcriptional lncRNA 3' end processing, cleavage and polyadenylation pathway",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"55596"
"GO:0017192~N-terminal peptidyl-glutamine acetylation",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"51126"
"GO:0045795~positive regulation of cell volume",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6558"
"GO:0042748~circadian sleep/wake cycle, non-REM sleep",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"114781"
"GO:0043048~dolichyl monophosphate biosynthetic process",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"22845"
"GO:0046986~negative regulation of hemoglobin biosynthetic process",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"27102"
"GO:0071919~G-quadruplex DNA formation",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"7555"
"GO:0090615~mitochondrial mRNA processing",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"9238"
"GO:1904843~cellular response to nitroglycerin",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"3297"
"GO:0010905~negative regulation of UDP-glucose catabolic process",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2931"
"GO:0036250~peroxisome transport along microtubule",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"5195"
"GO:1905592~negative regulation of optical nerve axon regeneration",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"8634"
"GO:0034474~U2 snRNA 3'-end processing",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"26173"
"GO:1904227~negative regulation of glycogen synthase activity, transferring glucose-1-phosphate",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2931"
"GO:0006843~mitochondrial citrate transmembrane transport",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6576"
"GO:0015689~molybdate ion transport",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"84975"
"GO:0006426~glycyl-tRNA aminoacylation",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2617"
"GO:0045993~negative regulation of translational initiation by iron",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"27102"
"GO:0032231~regulation of actin filament bundle assembly",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"5962"
"GO:0090174~organelle membrane fusion",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6809"
"GO:0061598~molybdopterin adenylyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"10243"
"GO:0106321~S-(hydroxymethyl)glutathione dehydrogenase (NADP+) activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"128"
"GO:0004742~dihydrolipoyllysine-residue acetyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"1737"
"GO:0043916~DNA-7-methylguanine glycosylase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"4350"
"GO:0004577~N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"79868"
"GO:0106322~S-(hydroxymethyl)glutathione dehydrogenase (NAD+) activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"128"
"GO:0002055~adenine binding",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"353"
"GO:1990053~DNA-5-methylcytosine glycosylase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"4350"
"GO:0035639~purine ribonucleoside triphosphate binding",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"5687"
"GO:0052925~dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"10195"
"GO:0061599~molybdopterin molybdotransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"10243"
"GO:0141000~histone H4K91 ubiquitin ligase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"151636"
"GO:0141192~ATP:ATP adenylyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2617"
"GO:0004155~6,7-dihydropteridine reductase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"5860"
"GO:0050046~delta7-sterol 5(6)-desaturase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6309"
"GO:0008482~sulfite oxidase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6821"
"GO:0016422~mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"63935"
"GO:0003922~GMP synthase (glutamine-hydrolyzing) activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"8833"
"GO:0034611~oligoribonucleotidase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"201626"
"GO:0004168~dolichol kinase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"22845"
"GO:0004820~glycine-tRNA ligase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2617"
"GO:0008725~DNA-3-methyladenine glycosylase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"4350"
"GO:0052822~DNA-3-methylguanine glycosylase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"4350"
"GO:0008732~L-allo-threonine aldolase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6472"
"GO:0042283~dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"79053"
"GO:0106439~L-lysine:L-arginine antiporter activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"9057"
"GO:0005316~high-affinity phosphate:sodium symporter activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6574"
"GO:0071913~citrate secondary active transmembrane transporter activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6576"
"GO:0003999~adenine phosphoribosyltransferase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"353"
"GO:0052821~DNA-7-methyladenine glycosylase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"4350"
"GO:0061731~ribonucleoside-diphosphate reductase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6240"
"GO:0015142~tricarboxylic acid transmembrane transporter activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"6576"
"GO:0003921~GMP synthase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"8833"
"GO:0004347~glucose-6-phosphate isomerase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"2821"
"GO:0003905~alkylbase DNA N-glycosylase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"4350"
"GO:0003963~RNA-3'-phosphate cyclase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"8634"
"GO:0015098~molybdate ion transmembrane transporter activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"84975"
"GO:0008894~guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"955"
"R-HSA-4755583~Defective DOLK causes DOLK-CDG",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"22845"
"R-HSA-5609974~Defective PGM1 causes PGM1-CDG",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"5236"
"R-HSA-4720475~Defective ALG3 causes CDG-1d",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"10195"
"R-HSA-9734195~Defective APRT disrupts adenine salvage",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"353"
"R-HSA-4724325~Defective ALG8 causes CDG-1h",0.00510204081632653,Inf,100.739795918367,0.00992656368700928,0.118662370511375,"79053"
"GO:0044839~cell cycle G2/M phase transition",0.0101522842639594,200.700998242561,67.1598639455782,0.000292189968567545,0.0284885219353356,"10270, 26993"
"GO:0090261~positive regulation of inclusion body assembly",0.0101522842639594,200.700998242561,67.1598639455782,0.000292189968567545,0.0284885219353356,"3297, 997"
"GO:1990641~response to iron ion starvation",0.0101522842639594,200.700998242561,67.1598639455782,0.000292189968567545,0.0284885219353356,"27102, 9812"
"GO:1904975~response to bleomycin",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"1291"
"GO:1905818~regulation of chromosome separation",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"1457"
"GO:1904450~positive regulation of aspartate secretion",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"6558"
"GO:0065001~specification of axis polarity",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"54880"
"GO:0070171~negative regulation of tooth mineralization",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"54880"
"GO:0039585~PKR/eIFalpha signaling",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"25820"
"GO:0006206~pyrimidine nucleobase metabolic process",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"6240"
"GO:0141124~intracellular signaling cassette",0.0050761421319797,99.9947202130182,50.3698979591837,0.0197550884802299,0.1512606109531,"5605"
