"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0001174~transcriptional start site selection at RNA polymerase II promoter",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2959"
"GO:1905031~regulation of membrane repolarization during cardiac muscle cell action potential",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2316"
"GO:1905450~negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"26060"
"GO:0036494~positive regulation of translation initiation in response to endoplasmic reticulum stress",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"5611"
"GO:0072356~chromosome passenger complex localization to kinetochore",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"55920"
"GO:1903828~negative regulation of protein localization",0.0114285714285714,Inf,112.828571428571,7.8107909886712e-05,0.0159781275605752,"55737, 58476"
"GO:0015676~vanadium ion transport",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"4891"
"GO:0035444~nickel cation transmembrane transport",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"4891"
"GO:0140754~reorganization of cellular membranes to establish viral sites of replication",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"5297"
"GO:0035037~sperm entry",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"7337"
"GO:0006463~steroid hormone receptor complex assembly",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2288"
"GO:0002192~IRES-dependent translational initiation of linear mRNA",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"5936"
"GO:2000331~regulation of terminal button organization",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"55737"
"GO:0046041~ITP metabolic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"50808"
"GO:0009443~pyridoxal 5'-phosphate salvage",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"8566"
"GO:2000806~positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"23064"
"GO:1905000~regulation of membrane repolarization during atrial cardiac muscle cell action potential",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2316"
"GO:0099639~neurotransmitter receptor transport, endosome to plasma membrane",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"55737"
"GO:0032938~negative regulation of translation in response to oxidative stress",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"5371"
"GO:0015692~lead ion transport",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"4891"
"GO:0060268~negative regulation of respiratory burst",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"613"
"GO:1905528~positive regulation of Golgi lumen acidification",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"7337"
"GO:0060566~positive regulation of termination of DNA-templated transcription",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"23064"
"GO:0098760~response to interleukin-7",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2355"
"GO:1904760~regulation of myofibroblast differentiation",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2355"
"GO:0046051~UTP metabolic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"50808"
"GO:0002692~negative regulation of cellular extravasation",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"613"
"GO:0042817~pyridoxal metabolic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"8566"
"GO:1904606~fat cell apoptotic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2355"
"GO:0019083~viral transcription",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"2959"
"GO:0002190~cap-independent translational initiation",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"5936"
"GO:0140888~interferon-mediated signaling pathway",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"57724"
"GO:0010522~regulation of calcium ion transport into cytosol",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"5371"
"GO:0001543~ovarian follicle rupture",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"8204"
"GO:0035348~acetyl-CoA transmembrane transport",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"9197"
"GO:0035212~cell competition in a multicellular organism",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"9730"
"GO:0120108~DNA-3'-diphospho-5'-guanosine diphosphatase",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"54840"
"GO:0034512~box C/D sno(s)RNA binding",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0899178197228336,"4809"
