"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:2000493~negative regulation of interleukin-18-mediated signaling pathway",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"1540"
"GO:0002184~cytoplasmic translational termination",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"2107"
"GO:1902068~regulation of sphingolipid mediated signaling pathway",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"8613"
"GO:0033320~UDP-D-xylose biosynthetic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"80146"
"GO:0008626~granzyme-mediated apoptotic signaling pathway",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10277"
"GO:1905450~negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"26060"
"GO:1902217~erythrocyte apoptotic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"382"
"GO:1904764~chaperone-mediated autophagy translocation complex disassembly",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"3312"
"GO:0071040~nuclear polyadenylation-dependent antisense transcript catabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"5394"
"GO:1903788~positive regulation of glutathione biosynthetic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4780"
"GO:1900369~negative regulation of post-transcriptional gene silencing by regulatory ncRNA",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"103"
"GO:1903387~positive regulation of homophilic cell adhesion",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"25930"
"GO:0048259~regulation of receptor-mediated endocytosis",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4043"
"GO:0140438~protein stearoylation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"64429"
"GO:1905161~protein localization to phagocytic vesicle",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"8887"
"GO:1905554~negative regulation of blood vessel branching",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"1500"
"GO:0061614~miRNA transcription",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"1655"
"GO:1904589~regulation of protein import",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"3312"
"GO:0050432~catecholamine secretion",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4204"
"GO:0071317~cellular response to isoquinoline alkaloid",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4204"
"GO:0006499~N-terminal protein myristoylation",0.00684931506849315,Inf,67.6198630136986,0.000217963393067116,0.0177175638742413,"5494, 5495"
"GO:0140754~reorganization of cellular membranes to establish viral sites of replication",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"5297"
"GO:0090085~regulation of protein deubiquitination",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"83737"
"GO:0035927~RNA import into mitochondrion",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"87178"
"GO:0002566~somatic diversification of immune receptors via somatic mutation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"103"
"GO:0035964~COPI-coated vesicle budding",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10972"
"GO:1903941~negative regulation of respiratory gaseous exchange",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4204"
"GO:1905314~semi-lunar valve development",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"659"
"GO:0019255~glucose 1-phosphate metabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7360"
"GO:0060691~epithelial cell maturation involved in salivary gland development",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7494"
"GO:1990466~protein autosumoylation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"9189"
"GO:1903703~enterocyte differentiation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10413"
"GO:0106272~protein localization to ERGIC",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10972"
"GO:1902003~regulation of amyloid-beta formation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10972"
"GO:0042558~pteridine-containing compound metabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4548"
"GO:0071045~nuclear histone mRNA catabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"6741"
"GO:1904595~positive regulation of termination of RNA polymerase II transcription",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"65125"
"GO:0002263~cell activation involved in immune response",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"8729"
"GO:0071042~nuclear polyadenylation-dependent mRNA catabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"87178"
"GO:0048199~vesicle targeting, to, from or within Golgi",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10972"
"GO:0099191~trans-synaptic signaling by BDNF",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4204"
"GO:0046223~aflatoxin catabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4780"
"GO:0000096~sulfur amino acid metabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4548"
"GO:0021556~central nervous system formation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"6711"
"GO:0031990~mRNA export from nucleus in response to heat stress",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7175"
"GO:1903420~protein localization to endoplasmic reticulum tubular network",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"8729"
"GO:0106273~cytosol to ERGIC protein transport",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"10972"
"GO:2000975~positive regulation of pro-B cell differentiation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"11051"
"GO:0006666~3-keto-sphinganine metabolic process",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"2531"
"GO:1901956~positive regulation of retrograde dense core granule transport",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"4204"
"GO:0110063~positive regulation of angiotensin-activated signaling pathway",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"5578"
"GO:1901148~gene expression involved in extracellular matrix organization",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"57326"
"GO:0043062~extracellular structure organization",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7046"
"GO:0010965~regulation of mitotic sister chromatid separation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7175"
"GO:0009956~radial pattern formation",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7026"
"GO:0110075~regulation of ferroptosis",0.00342465753424658,Inf,67.6198630136986,0.01478855406432,0.118878266707864,"7922"
