"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0051053~negative regulation of DNA metabolic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"10923"
"GO:0002762~negative regulation of myeloid leukocyte differentiation",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"4067"
"GO:1905932~positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"6648"
"GO:0006984~ER-nucleus signaling pathway",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"488"
"GO:0008039~synaptic target recognition",0.0114285714285714,Inf,112.828571428571,7.8107909886712e-05,0.0121169674685143,"23129, 7534"
"GO:1903945~positive regulation of hepatocyte apoptotic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"6789"
"GO:0097275~intracellular ammonium homeostasis",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"2752"
"GO:0002505~antigen processing and presentation of polysaccharide antigen via MHC class II",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"55207"
"GO:0002747~antigen processing and presentation following phagocytosis",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"55207"
"GO:2000900~cyclodextrin metabolic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"4864"
"GO:0003069~acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"6648"
"GO:0017192~N-terminal peptidyl-glutamine acetylation",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"51126"
"GO:0019521~D-gluconate metabolic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"5226"
"GO:1904702~regulation of protein localization to adherens junction",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"7414"
"GO:0031946~regulation of glucocorticoid biosynthetic process",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"2908"
"GO:0046754~viral exocytosis",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"55207"
"GO:0071919~G-quadruplex DNA formation",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"7555"
"GO:1902888~protein localization to astral microtubule",0.00571428571428571,Inf,112.828571428571,0.00886300329197265,0.0928910921947133,"22919"
