"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0002184~cytoplasmic translational termination",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"2107"
"GO:1902688~regulation of NAD metabolic process",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"9555"
"GO:0051350~negative regulation of lyase activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"29085"
"GO:0044338~canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"1499"
"GO:0072497~mesenchymal stem cell differentiation",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"1499"
"GO:0060517~epithelial cell proliferation involved in prostatic bud elongation",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"6662"
"GO:2000984~negative regulation of ATP citrate synthase activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"29085"
"GO:1901194~negative regulation of formation of translation preinitiation complex",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"23521"
"GO:0002683~negative regulation of immune system process",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"6662"
"GO:0061046~regulation of branching involved in lung morphogenesis",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"6662"
"GO:0061323~cell proliferation involved in heart morphogenesis",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"6662"
"GO:1901136~carbohydrate derivative catabolic process",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"669"
"GO:2000794~regulation of epithelial cell proliferation involved in lung morphogenesis",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"6662"
"GO:0007403~glial cell fate determination",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"1499"
"GO:0061550~cranial ganglion development",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"1499"
"GO:0035971~peptidyl-histidine dephosphorylation",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"29085"
"GO:0060784~regulation of cell proliferation involved in tissue homeostasis",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"6662"
"GO:0110075~regulation of ferroptosis",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"7922"
"GO:1904815~negative regulation of protein localization to chromosome, telomeric region",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"9555"
"GO:0008995~ribonuclease E activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"5511"
"GO:0019119~phenanthrene-9,10-epoxide hydrolase activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"8574"
"GO:0047105~4-trimethylammoniobutyraldehyde dehydrogenase activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"223"
"GO:0008079~translation termination factor activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"2107"
"GO:0106276~biliberdin reductase (NAD+) activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"644"
"GO:0106277~biliverdin reductase (NADP+) activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"644"
"GO:0101006~protein histidine phosphatase activity",0.00943396226415094,Inf,186.27358490566,0.0053684477082806,0.0698196449171382,"29085"
"GO:0021780~glial cell fate specification",0.0186915887850467,374.00733335665,124.182389937107,8.53485804028149e-05,0.00487319577373145,"4774, 6662"
"GO:1901991~negative regulation of mitotic cell cycle phase transition",0.0185185185185185,188.889544191984,93.1367924528302,0.000170097949014103,0.00796398597284029,"677, 678"
"GO:0030997~regulation of centriole-centriole cohesion",0.00934579439252336,185.09534554839,93.1367924528302,0.0107083456288095,0.0916136142543421,"1499"
