"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0034390~smooth muscle cell apoptotic process",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"6416"
"GO:1900369~negative regulation of post-transcriptional gene silencing by regulatory ncRNA",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"103"
"GO:1905572~ganglioside GM1 transport to membrane",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"5660"
"GO:2001246~negative regulation of phosphatidylcholine biosynthetic process",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"79888"
"GO:0160176~magnesium ion transport from cytosol to endoplasmic reticulum",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"9772"
"GO:0061614~miRNA transcription",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"1655"
"GO:0055082~intracellular chemical homeostasis",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"23038"
"GO:0015676~vanadium ion transport",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"4891"
"GO:0035444~nickel cation transmembrane transport",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"4891"
"GO:0090085~regulation of protein deubiquitination",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"83737"
"GO:0002566~somatic diversification of immune receptors via somatic mutation",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"103"
"GO:2000276~negative regulation of oxidative phosphorylation uncoupler activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"10105"
"GO:1904478~regulation of intestinal absorption",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"2035"
"GO:0015692~lead ion transport",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"4891"
"GO:0061620~glycolytic process through glucose-6-phosphate",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"83440"
"GO:0010849~regulation of proton-transporting ATPase activity, rotational mechanism",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"10105"
"GO:1903771~positive regulation of beta-galactosidase activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"5660"
"GO:0004420~hydroxymethylglutaryl-CoA reductase (NADPH) activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"3156"
"GO:0001850~complement component C3a binding",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"5245"
"GO:0015094~lead ion transmembrane transporter activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"4891"
"GO:0102262~tRNA-dihydrouridine16 synthase activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"64118"
"GO:1905574~ganglioside GM2 binding",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"5660"
"GO:0015099~nickel cation transmembrane transporter activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"4891"
"GO:0015100~vanadium ion transmembrane transporter activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"4891"
"GO:0047191~1-alkylglycerophosphocholine O-acyltransferase activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"79888"
"GO:0015444~P-type magnesium transporter activity",0.00980392156862745,Inf,193.578431372549,0.00516586477589276,0.10800874414086,"9772"
