"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0033233~regulation of protein sumoylation",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1958"
"GO:0072303~positive regulation of glomerular metanephric mesangial cell proliferation",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1958"
"GO:1903893~positive regulation of ATF6-mediated unfolded protein response",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"22926"
"GO:0097275~intracellular ammonium homeostasis",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"2752"
"GO:0010908~regulation of heparan sulfate proteoglycan biosynthetic process",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"9375"
"GO:0098759~cellular response to interleukin-8",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1958"
"GO:1905572~ganglioside GM1 transport to membrane",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"5660"
"GO:2001246~negative regulation of phosphatidylcholine biosynthetic process",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"79888"
"GO:0061614~miRNA transcription",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1655"
"GO:0034201~response to oleic acid",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"2180"
"GO:0032429~regulation of phospholipase A2 activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"4035"
"GO:0045175~basal protein localization",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"55914"
"GO:0090085~regulation of protein deubiquitination",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"83737"
"GO:0070666~regulation of mast cell proliferation",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"6778"
"GO:1901875~positive regulation of post-translational protein modification",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1958"
"GO:2000011~regulation of adaxial/abaxial pattern formation",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"648"
"GO:1905833~negative regulation of microtubule nucleation",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"8874"
"GO:0002041~intussusceptive angiogenesis",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"3491"
"GO:1904797~negative regulation of core promoter binding",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"5663"
"GO:0071900~regulation of protein serine/threonine kinase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"7405"
"GO:0072110~glomerular mesangial cell proliferation",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1958"
"GO:0140888~interferon-mediated signaling pathway",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"57724"
"GO:1903771~positive regulation of beta-galactosidase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"5660"
"GO:0000246~Delta24(24-1) sterol reductase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1718"
"GO:0047105~4-trimethylammoniobutyraldehyde dehydrogenase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"223"
"GO:1905574~ganglioside GM2 binding",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"5660"
"GO:0008117~sphinganine-1-phosphate aldolase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"8879"
"GO:0102571~[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"10724"
"GO:0050614~Delta24-sterol reductase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"1718"
"GO:0016964~alpha-2 macroglobulin receptor activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"4035"
"GO:0047191~1-alkylglycerophosphocholine O-acyltransferase activity",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"79888"
"GO:1905577~ganglioside GP1c binding",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"5660"
"GO:1905575~ganglioside GM3 binding",0.00819672131147541,Inf,161.844262295082,0.00617877943783252,0.13326124301055,"5660"
"GO:0051684~maintenance of Golgi location",0.016260162601626,324.003074607636,107.896174863388,0.000113138602238249,0.0581164405389932,"57584, 7405"
"GO:0072393~microtubule anchoring at microtubule organizing center",0.00813008130081301,161.386645276862,80.922131147541,0.0123196925713711,0.145287408945135,"23299"
"GO:0002329~pre-B cell differentiation",0.00813008130081301,161.386645276862,80.922131147541,0.0123196925713711,0.145287408945135,"56262"
"GO:1903748~negative regulation of establishment of protein localization to mitochondrion",0.00813008130081301,161.386645276862,80.922131147541,0.0123196925713711,0.145287408945135,"3301"
