"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0051283~negative regulation of sequestering of calcium ion",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"309"
"GO:0018125~peptidyl-cysteine methylation",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"5870"
"GO:0051141~negative regulation of NK T cell proliferation",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"51043"
"GO:1990547~mitochondrial phosphate ion transmembrane transport",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"5250"
"GO:0006713~glucocorticoid catabolic process",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"7533"
"GO:1901856~negative regulation of cellular respiration",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"10131"
"GO:1905396~cellular response to flavonoid",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"51447"
"GO:0009070~serine family amino acid biosynthetic process",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"4522"
"GO:0072308~negative regulation of metanephric nephron tubule epithelial cell differentiation",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"6772"
"GO:0002397~MHC class I protein complex assembly",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"6892"
"GO:0036111~very long-chain fatty-acyl-CoA metabolic process",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"3295"
"GO:0070143~mitochondrial alanyl-tRNA aminoacylation",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"57505"
"GO:0002398~MHC class Ib protein complex assembly",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"6892"
"GO:1903755~positive regulation of SUMO transferase activity",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"7329"
"GO:1903644~regulation of chaperone-mediated protein folding",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"3300"
"GO:0018293~protein-FAD linkage",0.00892857142857143,Inf,176.294642857143,0.00567232210686264,0.0783468004941815,"54949"
