"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0003108~negative regulation of the force of heart contraction by chemical signal",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"156"
"GO:1904695~positive regulation of vascular associated smooth muscle contraction",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"387"
"GO:0036494~positive regulation of translation initiation in response to endoplasmic reticulum stress",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"5611"
"GO:0002363~alpha-beta T cell lineage commitment",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"387"
"GO:0160218~negative regulation of acetyl-CoA biosynthetic process from pyruvate",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"5230"
"GO:1901194~negative regulation of formation of translation preinitiation complex",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"23521"
"GO:1903673~mitotic cleavage furrow formation",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"387"
"GO:2000374~regulation of oxygen metabolic process",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"80196"
"GO:1901081~negative regulation of relaxation of smooth muscle",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"156"
"GO:0097213~regulation of lysosomal membrane permeability",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"55353"
"GO:0001998~angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"387"
"GO:1902979~mitotic DNA replication termination",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"51507"
"GO:0102039~NADH-dependent peroxiredoxin activity",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"10935"
"GO:0030379~neurotensin receptor activity, non-G protein-coupled",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"6272"
"GO:0047105~4-trimethylammoniobutyraldehyde dehydrogenase activity",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"223"
"GO:0018738~S-formylglutathione hydrolase activity",0.0217391304347826,Inf,429.239130434783,0.00232970372246133,0.0441090571452678,"2098"
"GO:0018171~peptidyl-cysteine oxidation",0.0212765957446809,431.220667277005,214.619565217391,0.00465409764612279,0.0607707462758102,"10935"
"GO:0003189~aortic valve formation",0.0212765957446809,431.220667277005,214.619565217391,0.00465409764612279,0.0607707462758102,"387"
"GO:1904780~negative regulation of protein localization to centrosome",0.0212765957446809,431.220667277005,214.619565217391,0.00465409764612279,0.0607707462758102,"55968"
"GO:0097498~endothelial tube lumen extension",0.0212765957446809,431.220667277005,214.619565217391,0.00465409764612279,0.0607707462758102,"387"
"GO:1902766~skeletal muscle satellite cell migration",0.0212765957446809,431.220667277005,214.619565217391,0.00465409764612279,0.0607707462758102,"387"
