"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0033233~regulation of protein sumoylation",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1958"
"GO:0072303~positive regulation of glomerular metanephric mesangial cell proliferation",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1958"
"GO:0097298~regulation of nucleus size",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"50809"
"GO:0051130~positive regulation of cellular component organization",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"998"
"GO:1903893~positive regulation of ATF6-mediated unfolded protein response",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"22926"
"GO:0046318~negative regulation of glucosylceramide biosynthetic process",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"5562"
"GO:0072262~metanephric glomerular mesangial cell proliferation involved in metanephros development",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"5159"
"GO:2000864~regulation of estradiol secretion",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"10765"
"GO:0098759~cellular response to interleukin-8",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1958"
"GO:1904457~positive regulation of neuronal action potential",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"2629"
"GO:1905554~negative regulation of blood vessel branching",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1500"
"GO:0045112~integrin biosynthetic process",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1289"
"GO:1903225~negative regulation of endodermal cell differentiation",0.0240963855421687,Inf,237.89156626506,1.74582080357623e-05,0.000905588586060182,"1289, 1290"
"GO:0072375~medium-term memory",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"2353"
"GO:0140131~positive regulation of lymphocyte chemotaxis",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"4739"
"GO:0070208~protein heterotrimerization",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1278"
"GO:1901875~positive regulation of post-translational protein modification",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1958"
"GO:0072750~cellular response to leptomycin B",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"3399"
"GO:0072110~glomerular mesangial cell proliferation",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"1958"
"GO:0060981~cell migration involved in coronary angiogenesis",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"5159"
"GO:0075521~microtubule-dependent intracellular transport of viral material towards nucleus",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"6993"
"GO:0103023~ITPase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"953"
"GO:0050207~plasmanylethanolamine desaturase activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"387521"
"GO:0005017~platelet-derived growth factor receptor activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"5159"
"GO:1901707~leptomycin B binding",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"3399"
"GO:0034602~oxoglutarate dehydrogenase (NAD+) activity",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"4967"
"KW-1176~Cytoplasmic inwards viral transport",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"6993"
"KW-1177~Microtubular inwards viral transport",0.0120481927710843,Inf,237.89156626506,0.00420359584704988,0.0590546833234855,"6993"
"GO:0032905~transforming growth factor beta1 production",0.0238095238095238,480.528526879193,158.59437751004,5.22313718304397e-05,0.00234809033806621,"1281, 23607"
"R-HSA-9845622~Defective VWF binding to collagen type I ",0.0238095238095238,480.528526879193,158.59437751004,5.22313718304397e-05,0.00234809033806621,"1277, 1278"
"GO:0034199~activation of protein kinase A activity",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"2200"
"GO:0002329~pre-B cell differentiation",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"56262"
"GO:2000805~negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"22828"
"GO:0090135~actin filament branching",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"998"
"GO:0071506~cellular response to mycophenolic acid",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"1958"
"GO:0099188~postsynaptic cytoskeleton organization",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"55740"
"GO:1902618~cellular response to fluoride",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"1277"
"GO:1901805~beta-glucoside catabolic process",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"2629"
"GO:1990646~cellular response to prolactin",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"2353"
"GO:2000182~regulation of progesterone biosynthetic process",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"1958"
"GO:0071670~smooth muscle cell chemotaxis",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"5159"
"GO:0019060~intracellular transport of viral protein in host cell",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"6993"
"GO:0071306~cellular response to vitamin E",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"1277"
"GO:0048592~eye morphogenesis",0.0235294117647059,241.09217621628,118.94578313253,0.000104177109853473,0.00390278320802919,"1289, 1290"
"GO:0002432~granuloma formation",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"1051"
"GO:0021694~cerebellar Purkinje cell layer formation",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"2629"
"GO:0060702~negative regulation of endoribonuclease activity",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"6059"
"GO:0060661~submandibular salivary gland formation",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"998"
"GO:2000522~positive regulation of immunological synapse formation",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"4739"
"GO:0062028~regulation of stress granule assembly",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"5562"
"GO:0032427~GBD domain binding",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"998"
"GO:0050295~steryl-beta-glucosidase activity",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"2629"
"GO:0043175~RNA polymerase core enzyme binding",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"22828"
"GO:1990583~phospholipase D activator activity",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"378"
"GO:0060698~endoribonuclease inhibitor activity",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"6059"
"GO:0047322~[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity",0.0119047619047619,238.106260603481,118.94578313253,0.00838973348606409,0.0799928143347689,"5562"
"R-HSA-9845619~Enhanced cleavage of VWF variant by ADAMTS13",0.0235294117647059,241.09217621628,118.94578313253,0.000104177109853473,0.00390278320802919,"1277, 1278"
"R-HSA-9845621~Defective VWF cleavage by ADAMTS13 variant",0.0235294117647059,241.09217621628,118.94578313253,0.000104177109853473,0.00390278320802919,"1277, 1278"
"GO:0048407~platelet-derived growth factor binding",0.0561797752808989,208.283600820623,108.132530120482,5.26110478199656e-10,1.0643214973979e-07,"1277, 1278, 1281, 1289, 5159"
"GO:0150107~positive regulation of protein localization to cell-cell junction",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1500"
"GO:0035441~cell migration involved in vasculogenesis",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5159"
"GO:0023021~termination of signal transduction",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"2629"
"GO:1903109~positive regulation of mitochondrial transcription",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5562"
"GO:0038091~positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5159"
"GO:1901329~regulation of odontoblast differentiation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1051"
"GO:0021849~neuroblast division in subventricular zone",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"8650"
"GO:0035711~T-helper 1 cell activation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1051"
"GO:0006435~threonyl-tRNA aminoacylation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"6897"
"GO:0060086~circadian temperature homeostasis",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1958"
"GO:1905165~regulation of lysosomal protein catabolic process",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"2629"
"GO:0038189~neuropilin signaling pathway",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"998"
"GO:0009631~cold acclimation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5562"
"GO:0034462~small-subunit processome assembly",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"7520"
"GO:0072277~metanephric glomerular capillary formation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5159"
"GO:2000120~positive regulation of sodium-dependent phosphate transport",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1051"
"GO:1903131~mononuclear cell differentiation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"2353"
"GO:0061034~olfactory bulb mitral cell layer development",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"4967"
"GO:0086101~endothelin receptor signaling pathway involved in heart process",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"998"
"GO:2001198~regulation of dendritic cell differentiation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1051"
"GO:0006680~glucosylceramide catabolic process",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"2629"
"GO:0032484~Ral protein signal transduction",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"28511"
"GO:0035793~positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5159"
"GO:1904430~negative regulation of t-circle formation",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"7520"
"GO:0001661~conditioned taste aversion",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"2353"
"GO:0034505~tooth mineralization",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1277"
"GO:1990790~response to glial cell derived neurotrophic factor",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"23607"
"GO:0050119~N-acetylglucosamine deacetylase activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"3340"
"GO:0140360~cyclic-GMP-AMP transmembrane transporter activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"56262"
"GO:0004829~threonine-tRNA ligase activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"6897"
"GO:0004050~apyrase activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"953"
"GO:0044729~hemi-methylated DNA-binding",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"1958"
"GO:0019797~procollagen-proline 3-dioxygenase activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"64175"
"GO:0160185~phospholipase C activator activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5159"
"GO:0045027~DNA end binding",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"7520"
"GO:0102140~heparan sulfate N-deacetylase activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"3340"
"GO:0004992~platelet activating factor receptor activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"5159"
"GO:0004591~oxoglutarate dehydrogenase (succinyl-transferring) activity",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"4967"
"KW-1160~Virus entry into host cell",0.0117647058823529,119.042414974623,79.2971887550201,0.0125584845431806,0.0895550458318811,"6993"
"WP2911:miRNA targets in ECM and membrane receptors",0.0714285714285714,120.459631787709,75.6927710843374,2.90264647808981e-12,2.93602691258784e-09,"1278, 1281, 1284, 1289, 1290, 1292, 1293"
"GO:0043273~CTPase activity",0.0227272727272727,96.4536966287725,67.9690189328743,0.000361638917773928,0.0110847807675251,"6059, 953"
"R-HSA-9846298~Defective binding of VWF variant to GPIb:IX:V",0.0227272727272727,96.4536966287725,67.9690189328743,0.000361638917773928,0.0110847807675251,"1277, 1278"
"R-HSA-9845620~Enhanced binding of GP1BA variant to VWF multimer:collagen ",0.0227272727272727,96.4536966287725,67.9690189328743,0.000361638917773928,0.0110847807675251,"1277, 1278"
"GO:0022028~tangential migration from the subventricular zone to the olfactory bulb",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"4967"
"GO:0070561~vitamin D receptor signaling pathway",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"8202"
"GO:0071475~cellular hyperosmotic salinity response",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"7520"
"GO:0036022~limb joint morphogenesis",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1281"
"GO:0060350~endochondral bone morphogenesis",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1281"
"GO:0006415~translational termination",0.0224719101123595,80.5439149424656,59.4728915662651,0.000480868390198309,0.0140985036720461,"2935, 6059"
"GO:0014805~smooth muscle adaptation",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"5159"
"GO:0035624~receptor transactivation",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"8202"
"GO:0061515~myeloid cell development",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1051"
"GO:0032100~positive regulation of appetite",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"2200"
"GO:1902219~negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"8531"
"GO:0035583~sequestering of TGFbeta in extracellular matrix",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"2200"
"GO:0021859~pyramidal neuron differentiation",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"2629"
"GO:0060414~aorta smooth muscle tissue morphogenesis",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1281"
"GO:0035989~tendon development",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1289"
"GO:0071504~cellular response to heparin",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1958"
"GO:0032964~collagen biosynthetic process",0.0326086956521739,81.5791986317086,59.4728915662651,1.53322084082393e-05,0.000816238358154423,"1277, 1289, 9697"
"GO:0046886~positive regulation of hormone biosynthetic process",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1958"
"GO:1901874~negative regulation of post-translational protein modification",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"64175"
"GO:0048642~negative regulation of skeletal muscle tissue development",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"8531"
"GO:0060763~mammary duct terminal end bud growth",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"10765"
"GO:0050922~negative regulation of chemotaxis",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"1845"
"GO:0051835~positive regulation of synapse structural plasticity",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"998"
"GO:0048050~post-embryonic eye morphogenesis",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"2200"
"GO:1990269~RNA polymerase II C-terminal domain phosphoserine binding",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"22828"
"GO:0034191~apolipoprotein A-I receptor binding",0.0116279069767442,79.5256957270367,59.4728915662651,0.0167099203542896,0.100907966796203,"998"
