"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0072753~cellular response to glutathione",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"10939"
"GO:0070150~mitochondrial glycyl-tRNA aminoacylation",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"2617"
"GO:1903891~regulation of ATF6-mediated unfolded protein response",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"3309"
"GO:0002574~thrombocyte differentiation",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"8314"
"GO:0060904~regulation of protein folding in endoplasmic reticulum",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"3309"
"GO:0106047~polyamine deacetylation",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"83933"
"GO:0070070~proton-transporting V-type ATPase complex assembly",0.00816326530612245,Inf,80.5918367346939,0.000153342885156902,0.0159945148267824,"252839, 90809"
"GO:0045649~regulation of macrophage differentiation",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"9444"
"GO:0010908~regulation of heparan sulfate proteoglycan biosynthetic process",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"9375"
"GO:1903463~regulation of mitotic cell cycle DNA replication",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"10269"
"GO:0045763~negative regulation of amino acid metabolic process",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"10295"
"GO:1990173~protein localization to nucleoplasm",0.00816326530612245,Inf,80.5918367346939,0.000153342885156902,0.0159945148267824,"29997, 84897"
"GO:1902615~immune response involved in response to exogenous dsRNA",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"29915"
"GO:1903903~regulation of establishment of T cell polarity",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"2934"
"GO:1905247~positive regulation of aspartic-type peptidase activity",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"2896"
"GO:0043363~nucleate erythrocyte differentiation",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"8314"
"GO:0106048~spermidine deacetylation",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"83933"
"GO:0070302~regulation of stress-activated protein kinase signaling cascade",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"10269"
"GO:2000730~regulation of termination of RNA polymerase I transcription",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"10269"
"GO:1901723~negative regulation of cell proliferation involved in kidney development",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"201163"
"GO:0032077~positive regulation of deoxyribonuclease activity",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"5111"
"GO:1903626~positive regulation of DNA catabolic process",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"472"
"GO:1903180~negative regulation of dopamine biosynthetic process",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"64943"
"GO:0070407~oxidation-dependent protein catabolic process",0.00408163265306122,Inf,80.5918367346939,0.0124082046087618,0.132036977791799,"9361"
