"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0039654~fusion of virus membrane with host endosome membrane",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"1514"
"GO:0070862~negative regulation of protein exit from endoplasmic reticulum",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"3638"
"GO:0032803~regulation of low-density lipoprotein particle receptor catabolic process",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"29116"
"GO:0006984~ER-nucleus signaling pathway",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"488"
"GO:0003182~coronary sinus valve morphogenesis",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"4851"
"GO:0007440~foregut morphogenesis",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"4851"
"GO:1905216~positive regulation of RNA binding",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"4686"
"GO:1990709~presynaptic active zone organization",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"831"
"GO:0072739~response to anisomycin",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"11143"
"GO:0042983~amyloid precursor protein biosynthetic process",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"23385"
"GO:0060696~regulation of phospholipid catabolic process",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"3417"
"GO:0072722~response to amitrole",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"847"
"GO:1903463~regulation of mitotic cell cycle DNA replication",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"10269"
"GO:1903903~regulation of establishment of T cell polarity",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"2934"
"GO:1900163~positive regulation of phospholipid scramblase activity",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"5580"
"GO:0062112~fatty acid primary amide biosynthetic process",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"5066"
"GO:0048611~embryonic ectodermal digestive tract development",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"6293"
"GO:0097753~membrane bending",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"8301"
"GO:0070302~regulation of stress-activated protein kinase signaling cascade",0.00383141762452107,Inf,75.6513409961686,0.0132185363383135,0.132443286043395,"10269"
