"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0015679~plasma membrane copper ion transport",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"1317"
"GO:0002184~cytoplasmic translational termination",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"2107"
"GO:1904046~negative regulation of vascular endothelial growth factor production",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"6301"
"GO:0046081~dUTP catabolic process",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"1854"
"GO:1904764~chaperone-mediated autophagy translocation complex disassembly",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"3312"
"GO:0015700~arsenite transport",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"439"
"GO:1990115~RNA polymerase III assembly",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"5204"
"GO:0072389~flavin adenine dinucleotide catabolic process",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"7415"
"GO:1902601~silver ion transmembrane transport",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"1317"
"GO:1904356~regulation of telomere maintenance via telomere lengthening",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"26277"
"GO:1904589~regulation of protein import",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"3312"
"GO:0008049~male courtship behavior",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"3074"
"GO:1903007~positive regulation of Lys63-specific deubiquitinase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"7415"
"GO:0046499~S-adenosylmethioninamine metabolic process",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"23463"
"GO:1902683~regulation of receptor localization to synapse",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"27020"
"GO:0070981~L-asparagine biosynthetic process",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"440"
"GO:1990113~RNA polymerase I assembly",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"5204"
"GO:0102039~NADH-dependent peroxiredoxin activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"10935"
"GO:0004312~fatty acid synthase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"2194"
"GO:0004671~protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"23463"
"GO:0015105~arsenite transmembrane transporter activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"439"
"GO:0098619~selenocysteine-tRNA ligase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"6301"
"GO:0004595~pantetheine-phosphate adenylyltransferase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"80347"
"GO:0008079~translation termination factor activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"2107"
"GO:0004170~dUTP diphosphatase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"1854"
"GO:0004313~[acyl-carrier-protein] S-acetyltransferase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"2194"
"GO:0008119~thiopurine S-methyltransferase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"7172"
"GO:0015080~silver ion transmembrane transporter activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"1317"
"GO:0031177~phosphopantetheine binding",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"2194"
"GO:0170057~RNA ligase (GTP) activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"51493"
"GO:0106370~protein-L-histidine N-pros-methyltransferase activity",0.0119047619047619,Inf,235.059523809524,0.00425424158014709,0.0426077944631034,"51108"
