"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0048687~positive regulation of sprouting of injured axon",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"23369"
"GO:1904695~positive regulation of vascular associated smooth muscle contraction",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"387"
"GO:0072663~establishment of protein localization to peroxisome",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"5824"
"GO:0090152~establishment of protein localization to mitochondrial membrane involved in mitochondrial fission",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"8546"
"GO:0002574~thrombocyte differentiation",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"8314"
"GO:0072739~response to anisomycin",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"11143"
"GO:1903893~positive regulation of ATF6-mediated unfolded protein response",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"22926"
"GO:1900131~negative regulation of lipid binding",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"5824"
"GO:2000142~regulation of DNA-templated transcription initiation",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"54700"
"GO:0043363~nucleate erythrocyte differentiation",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"8314"
"GO:0072720~response to dithiothreitol",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"11143"
"GO:1904439~negative regulation of iron ion import across plasma membrane",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"23479"
"GO:0002363~alpha-beta T cell lineage commitment",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"387"
"GO:1903673~mitotic cleavage furrow formation",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"387"
"GO:1990466~protein autosumoylation",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.0633464471768594,"9189"
