"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"138.Fig1AB_Eukaryotic_transcriptional_control",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"4790"
"GO:0061691~detoxification of hydrogen peroxide",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"11315"
"GO:0106045~guanine deglycation, methylglyoxal removal",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"11315"
"GO:0002184~cytoplasmic translational termination",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"2107"
"GO:0005985~sucrose metabolic process",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"2548"
"GO:0072229~metanephric proximal convoluted tubule development",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"38"
"GO:1903122~negative regulation of TRAIL-activated apoptotic signaling pathway",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"11315"
"GO:0072749~cellular response to cytochalasin B",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"60"
"GO:0046630~gamma-delta T cell proliferation",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"54890"
"GO:1904247~positive regulation of polynucleotide adenylyltransferase activity",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"8106"
"GO:2000752~regulation of glucosylceramide catabolic process",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"950"
"GO:0062208~positive regulation of pattern recognition receptor signaling pathway",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"25921"
"GO:1902217~erythrocyte apoptotic process",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"382"
"GO:0009154~purine ribonucleotide catabolic process",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"3094"
"GO:0051623~positive regulation of norepinephrine uptake",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"60"
"GO:0051261~protein depolymerization",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"9525"
"GO:0019747~regulation of isoprenoid metabolic process",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"10577"
"GO:0106044~guanine deglycation",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"11315"
"GO:0071348~cellular response to interleukin-11",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"22904"
"GO:0055071~manganese ion homeostasis",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"23516"
"GO:1902498~regulation of protein autoubiquitination",0.00555555555555556,Inf,109.694444444444,0.00911623195745759,0.0826687192709252,"23328"
