"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0120323~lipid ubiquitination",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"57674"
"GO:1902217~erythrocyte apoptotic process",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"382"
"GO:1901342~regulation of vasculature development",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"102"
"GO:0042823~pyridoxal phosphate biosynthetic process",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"55163"
"GO:0045685~regulation of glial cell differentiation",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"4763"
"GO:0046511~sphinganine biosynthetic process",0.0122699386503067,Inf,121.134969325153,6.77345638249102e-05,0.00244201245453921,"10558, 9517"
"GO:1900369~negative regulation of post-transcriptional gene silencing by regulatory ncRNA",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"103"
"GO:1900151~regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"149041"
"GO:1904404~response to formaldehyde",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"4193"
"GO:0140493~very long-chain fatty acid beta-oxidation",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"51"
"GO:1904411~positive regulation of secretory granule organization",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"5007"
"GO:0072308~negative regulation of metanephric nephron tubule epithelial cell differentiation",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"6772"
"GO:1905554~negative regulation of blood vessel branching",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"1500"
"GO:1990280~RNA localization to chromatin",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"3192"
"GO:1902437~positive regulation of male mating behavior",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"3066"
"GO:0106027~neuron projection organization",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"2932"
"GO:0071301~cellular response to vitamin B1",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"4193"
"GO:0035037~sperm entry",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"7337"
"GO:0051089~constitutive protein ectodomain proteolysis",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"102"
"GO:0002566~somatic diversification of immune receptors via somatic mutation",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"103"
"GO:1904649~regulation of fat cell apoptotic process",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"10558"
"GO:0046831~regulation of RNA export from nucleus",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"10657"
"GO:0040034~regulation of development, heterochronic",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"3150"
"GO:0098597~observational learning",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"4763"
"GO:1902889~protein localization to spindle microtubule",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"3192"
"GO:0034398~telomere tethering at nuclear periphery",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"4928"
"GO:1904828~positive regulation of hydrogen sulfide biosynthetic process",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"6667"
"GO:1905528~positive regulation of Golgi lumen acidification",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"7337"
"GO:0014810~positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"9446"
"GO:0045623~negative regulation of T-helper cell differentiation",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"149041"
"GO:0033027~positive regulation of mast cell apoptotic process",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"4763"
"GO:0031990~mRNA export from nucleus in response to heat stress",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"7175"
"GO:0071765~nuclear inner membrane organization",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"23435"
"GO:0150101~regulation of microtubule anchoring at centrosome",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"2932"
"GO:1904568~cellular response to wortmannin",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"6667"
"GO:0035750~protein localization to myelin sheath abaxonal region",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"64398"
"GO:0010965~regulation of mitotic sister chromatid separation",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"7175"
"GO:0102039~NADH-dependent peroxiredoxin activity",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"10935"
"GO:0004134~4-alpha-glucanotransferase activity",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"178"
"GO:0017130~poly(C) RNA binding",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"3192"
"GO:0031690~adrenergic receptor binding",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"708"
"GO:0004135~amylo-alpha-1,6-glucosidase activity",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"178"
"GO:0004733~pyridoxamine phosphate oxidase activity",0.00613496932515337,Inf,121.134969325153,0.00825525449480857,0.0541887683029899,"55163"
