"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0071528~tRNA re-export from nucleus",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"11260"
"GO:0010877~lipid transport involved in lipid storage",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"348"
"GO:0016104~triterpenoid biosynthetic process",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"4047"
"GO:0051665~membrane raft localization",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"5898"
"GO:1902629~regulation of mRNA stability involved in cellular response to UV",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"4869"
"GO:1904247~positive regulation of polynucleotide adenylyltransferase activity",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"8106"
"GO:0062208~positive regulation of pattern recognition receptor signaling pathway",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"25921"
"GO:0033313~meiotic cell cycle checkpoint signaling",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"54888"
"GO:0060699~regulation of endoribonuclease activity",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"4869"
"GO:0097341~zymogen inhibition",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"5045"
"GO:0071831~intermediate-density lipoprotein particle clearance",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"348"
"GO:1902999~negative regulation of phospholipid efflux",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"348"
"GO:1903002~positive regulation of lipid transport across blood-brain barrier",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"348"
"GO:0006168~adenine salvage",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"353"
"GO:0090472~dibasic protein processing",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"5045"
"GO:1905534~positive regulation of L-leucine import across plasma membrane",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"8140"
"GO:2000208~positive regulation of ribosomal small subunit export from nucleus",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"55781"
"GO:0036090~cleavage furrow ingression",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"54784"
"GO:1902888~protein localization to astral microtubule",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"22919"
"GO:0140212~regulation of long-chain fatty acid import into cell",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"2058"
"GO:0040034~regulation of development, heterochronic",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"3150"
"GO:1903755~positive regulation of SUMO transferase activity",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"7329"
"GO:1900249~positive regulation of cytoplasmic translational elongation",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"10322"
"GO:1901627~negative regulation of postsynaptic membrane organization",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"348"
"GO:1903001~negative regulation of lipid transport across blood-brain barrier",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"348"
"GO:0048291~isotype switching to IgG isotypes",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"3329"
"GO:0060735~regulation of eIF2 alpha phosphorylation by dsRNA",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"4869"
"GO:0030656~regulation of vitamin metabolic process",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"51293"
"GO:0000160~phosphorelay signal transduction system",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"4831"
"GO:0019242~methylglyoxal biosynthetic process",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"7167"
"GO:0034642~mitochondrion migration along actin filament",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"80179"
"GO:0061736~engulfment of target by autophagosome",0.00584795321637427,Inf,115.46783625731,0.00866042035958459,0.0563225958557811,"57154"
