"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0048087~positive regulation of developmental pigmentation",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"581"
"GO:1904565~response to 1-oleoyl-sn-glycerol 3-phosphate",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"54206"
"GO:1902068~regulation of sphingolipid mediated signaling pathway",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"8613"
"GO:0061445~endocardial cushion cell fate commitment",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"90"
"GO:2000752~regulation of glucosylceramide catabolic process",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"950"
"GO:0110002~regulation of tRNA methylation",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"207"
"GO:0140493~very long-chain fatty acid beta-oxidation",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"51"
"GO:0043470~regulation of carbohydrate catabolic process",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"950"
"GO:0050432~catecholamine secretion",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"4204"
"GO:0071317~cellular response to isoquinoline alkaloid",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"4204"
"GO:1901610~positive regulation of vesicle transport along microtubule",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"6794"
"GO:1903941~negative regulation of respiratory gaseous exchange",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"4204"
"GO:0001777~T cell homeostatic proliferation",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"581"
"GO:0032976~release of matrix enzymes from mitochondria",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"581"
"GO:1903703~enterocyte differentiation",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"10413"
"GO:0099191~trans-synaptic signaling by BDNF",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"4204"
"GO:1903318~negative regulation of protein maturation",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"207"
"GO:1901956~positive regulation of retrograde dense core granule transport",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"4204"
"GO:0046912~acyltransferase activity, acyl groups converted into alkyl on transfer",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"1431"
"GO:0051750~delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"1891"
"GO:0004578~chitobiosyldiphosphodolichol beta-mannosyltransferase activity",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"56052"
"GO:0004108~citrate (Si)-synthase activity",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"1431"
"R-HSA-9022534~Loss of MECP2 binding ability to 5hmC-DNA",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"4204"
"R-HSA-4549380~Defective ALG1 causes CDG-1k",0.0169491525423729,Inf,334.661016949153,0.00298809825272228,0.0256139317149696,"56052"
"GO:0070141~response to UV-A",0.0333333333333333,671.971125615318,223.107344632768,2.62828389070244e-05,0.00263186791418976,"207, 595"
"GO:0035847~uterine epithelium development",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"54206"
"GO:1905492~positive regulation of branching morphogenesis of a nerve",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"4204"
"GO:0060668~regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"8079"
"GO:0002352~B cell negative selection",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:0090322~regulation of superoxide metabolic process",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"6464"
"GO:0001909~leukocyte mediated cytotoxicity",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"6813"
"GO:0001906~cell killing",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"1822"
"GO:1904526~regulation of microtubule binding",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"2011"
"GO:0045136~development of secondary sexual characteristics",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:0022605~mammalian oogenesis stage",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"207"
"GO:0150033~negative regulation of protein localization to lysosome",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"207"
"GO:1904978~regulation of endosome organization",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"950"
"GO:2000017~positive regulation of determination of dorsal identity",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"90"
"GO:0022007~convergent extension involved in neural plate elongation",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"1855"
"GO:0099611~regulation of action potential firing threshold",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"4204"
"GO:0060057~apoptotic process involved in mammary gland involution",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:2000673~positive regulation of motor neuron apoptotic process",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:1990117~B cell receptor apoptotic signaling pathway",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:0061031~endodermal digestive tract morphogenesis",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"3398"
"GO:2001295~malonyl-CoA biosynthetic process",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"31"
"GO:0006808~regulation of nitrogen utilization",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:0002358~B cell homeostatic proliferation",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"GO:1903531~negative regulation of secretion by cell",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"9341"
"GO:1905386~positive regulation of protein localization to presynapse",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"1855"
"GO:0030348~syntaxin-3 binding",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"6813"
"GO:0031852~mu-type opioid receptor binding",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"2778"
"GO:0004485~methylcrotonoyl-CoA carboxylase activity",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"64087"
"GO:0001067~transcription regulatory region nucleic acid binding",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"132660"
"R-HSA-8951911~RUNX3 regulates RUNX1-mediated transcription",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"865"
"R-HSA-9909438~3-Methylcrotonyl-CoA carboxylase deficiency",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"64087"
"R-HSA-114294~Activation, translocation and oligomerization of BAX",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"581"
"WP2366:Butyrate induced histone acetylation",0.0166666666666667,336.464923094816,167.330508474576,0.00596741866414285,0.0355303332894776,"207"
"GO:0060011~Sertoli cell proliferation",0.032258064516129,228.32614273593,133.864406779661,8.7272640532989e-05,0.00409067291689734,"581, 599"
"6.CD23_engagement",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"6647"
"GO:0001976~nervous system process involved in regulation of systemic arterial blood pressure",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"4204"
"GO:0006576~biogenic amine metabolic process",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"4204"
"GO:0000320~re-entry into mitotic cell cycle",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"595"
"GO:1990418~response to insulin-like growth factor stimulus",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"207"
"GO:0014901~satellite cell activation involved in skeletal muscle regeneration",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"3836"
"GO:2000243~positive regulation of reproductive process",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"581"
"GO:1903384~negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"207"
"GO:0016036~cellular response to phosphate starvation",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"9213"
"GO:0061833~protein localization to tricellular tight junction",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"5601"
"GO:1905552~positive regulation of protein localization to endoplasmic reticulum",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"207"
"GO:0035795~negative regulation of mitochondrial membrane permeability",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"599"
"GO:1902263~apoptotic process involved in embryonic digit morphogenesis",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"581"
"GO:1901953~positive regulation of anterograde dense core granule transport",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"4204"
"GO:0090327~negative regulation of locomotion involved in locomotory behavior",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"4204"
"GO:0099610~action potential initiation",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"6647"
"GO:0060058~positive regulation of apoptotic process involved in mammary gland involution",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"581"
"GO:1902445~regulation of mitochondrial membrane permeability involved in programmed necrotic cell death",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"581"
"GO:0072752~cellular response to rapamycin",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"207"
"GO:1905430~cellular response to glycine",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"599"
"GO:0032048~cardiolipin metabolic process",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"4204"
"GO:0031281~positive regulation of cyclase activity",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"1432"
"GO:0002904~positive regulation of B cell apoptotic process",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"581"
"GO:0051400~BH domain binding",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"599"
"GO:0106235~ceramide-1-phosphate phosphatase activity",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"8613"
"GO:0003989~acetyl-CoA carboxylase activity",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"31"
"GO:0030942~endoplasmic reticulum signal peptide binding",0.0163934426229508,167.939519855611,111.553672316384,0.0089379865767607,0.0422540438382056,"6730"
