"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"138.Fig1AB_Eukaryotic_transcriptional_control",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"4790"
"GO:1901256~regulation of macrophage colony-stimulating factor production",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"27086"
"GO:2000752~regulation of glucosylceramide catabolic process",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"950"
"GO:0072739~response to anisomycin",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"11143"
"GO:0002505~antigen processing and presentation of polysaccharide antigen via MHC class II",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"55207"
"GO:0002747~antigen processing and presentation following phagocytosis",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"55207"
"GO:0042182~ketone catabolic process",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"5019"
"GO:0072722~response to amitrole",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"847"
"GO:1902605~heterotrimeric G-protein complex assembly",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"5082"
"GO:1904911~negative regulation of establishment of RNA localization to telomere",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"7013"
"GO:0043470~regulation of carbohydrate catabolic process",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"950"
"GO:0034238~macrophage fusion",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"975"
"GO:0072720~response to dithiothreitol",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"11143"
"GO:0045887~positive regulation of synaptic assembly at neuromuscular junction",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"375790"
"GO:1901879~regulation of protein depolymerization",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"444"
"GO:0046754~viral exocytosis",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"55207"
"GO:0031585~regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"444"
"GO:0035783~CD4-positive, alpha-beta T cell costimulation",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"975"
"GO:1905676~positive regulation of adaptive immune memory response",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"975"
"GO:0072710~response to hydroxyurea",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"11143"
"GO:1904850~negative regulation of establishment of protein localization to telomere",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"7013"
"GO:0080184~response to phenylpropanoid",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"847"
"GO:0072716~response to actinomycin D",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"11143"
"GO:1904792~positive regulation of shelterin complex assembly",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"7013"
"GO:1904914~negative regulation of establishment of protein-containing complex localization to telomere",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"7013"
"GO:0141090~protein serine pyrophosphorylase activity",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"6675"
"GO:0052630~UDP-N-acetylgalactosamine diphosphorylase activity",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"6675"
"GO:0051786~all-trans-retinol 13,14-reductase activity",0.0106382978723404,Inf,210.053191489362,0.00476069891111686,0.161134571846481,"54884"
"151.pro-apoptotic_actions_of_altered_APP&PS1",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"4790"
"139.Fig1CD_Eukaryotic_transcriptional_control",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"4790"
"GO:0090117~endosome to lysosome transport of low-density lipoprotein particle",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"55207"
"GO:1900424~regulation of defense response to bacterium",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"27086"
"GO:1905778~negative regulation of exonuclease activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"7013"
"GO:0071037~nuclear polyadenylation-dependent snRNA catabolic process",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"84186"
"GO:0071036~nuclear polyadenylation-dependent snoRNA catabolic process",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"84186"
"GO:1904978~regulation of endosome organization",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"950"
"GO:0071031~nuclear mRNA surveillance of mRNA 3'-end processing",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"84186"
"GO:0045655~regulation of monocyte differentiation",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"27086"
"GO:0010142~farnesyl diphosphate biosynthetic process, mevalonate pathway",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"3157"
"GO:1902946~protein localization to early endosome",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"55207"
"GO:1904352~positive regulation of protein catabolic process in the vacuole",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"975"
"GO:0045186~zonula adherens assembly",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"10152"
"GO:0032745~positive regulation of interleukin-21 production",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"27086"
"GO:1900208~regulation of cardiolipin metabolic process",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"131118"
"GO:0032214~negative regulation of telomere maintenance via semi-conservative replication",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"7013"
"GO:0072708~response to sorbitol",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"11143"
"GO:1905839~negative regulation of telomeric D-loop disassembly",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"7013"
"GO:0061692~cellular detoxification of hydrogen peroxide",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"847"
"GO:0071039~nuclear polyadenylation-dependent CUT catabolic process",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"84186"
"GO:1903911~positive regulation of receptor clustering",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"975"
"GO:1902809~regulation of skeletal muscle fiber differentiation",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"9759"
"GO:0032574~5'-3' RNA helicase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"4343"
"GO:0062101~peptidyl-aspartic acid 3-dioxygenase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"444"
"GO:0044378~non-sequence-specific DNA binding, bending",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"79685"
"GO:0031800~type 3 metabotropic glutamate receptor binding",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"9351"
"GO:0008410~CoA-transferase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"5019"
"GO:0031799~type 2 metabotropic glutamate receptor binding",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"9351"
"GO:0003977~UDP-N-acetylglucosamine diphosphorylase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"6675"
"GO:0035373~chondroitin sulfate proteoglycan binding",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"5792"
"GO:0016997~alpha-sialidase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"4758"
"GO:0004421~hydroxymethylglutaryl-CoA synthase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"3157"
"GO:0008260~succinyl-CoA:3-oxo-acid CoA-transferase activity",0.0105263157894737,209.127392797865,105.026595744681,0.00949897354150364,0.161134571846481,"5019"
"GO:0048679~regulation of axon regeneration",0.0206185567010309,142.318449218749,84.0212765957447,0.00022216013456486,0.066388853545799,"5792, 8428"
"WP5195:Disorders in ketolysis",0.0206185567010309,142.318449218749,84.0212765957447,0.00022216013456486,0.066388853545799,"3157, 5019"
"GO:2000630~positive regulation of miRNA metabolic process",0.0104166666666667,105.558435908449,70.0177304964539,0.0142149283856049,0.165502380489543,"4790"
"GO:2000341~regulation of chemokine (C-X-C motif) ligand 2 production",0.0104166666666667,105.558435908449,70.0177304964539,0.0142149283856049,0.165502380489543,"27086"
"GO:1990927~calcium ion regulated lysosome exocytosis",0.0104166666666667,105.558435908449,70.0177304964539,0.0142149283856049,0.165502380489543,"55207"
"GO:0016036~cellular response to phosphate starvation",0.0104166666666667,105.558435908449,70.0177304964539,0.0142149283856049,0.165502380489543,"9213"
"GO:0016076~snRNA catabolic process",0.0104166666666667,105.558435908449,70.0177304964539,0.0142149283856049,0.165502380489543,"23517"
"GO:0010956~negative regulation of calcidiol 1-monooxygenase activity",0.0104166666666667,105.558435908449,70.0177304964539,0.0142149283856049,0.165502380489543,"4790"
