"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0055113~epiboly involved in gastrulation with mouth forming second",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"1954"
"GO:0061874~positive regulation of hepatic stellate cell contraction",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"59"
"GO:1902629~regulation of mRNA stability involved in cellular response to UV",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"4869"
"GO:1905031~regulation of membrane repolarization during cardiac muscle cell action potential",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"2316"
"GO:0060699~regulation of endoribonuclease activity",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"4869"
"GO:0140754~reorganization of cellular membranes to establish viral sites of replication",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"5297"
"GO:1902888~protein localization to astral microtubule",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"22919"
"GO:1905000~regulation of membrane repolarization during atrial cardiac muscle cell action potential",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"2316"
"GO:1901979~regulation of inward rectifier potassium channel activity",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"3688"
"GO:0016073~snRNA metabolic process",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"56257"
"GO:0060735~regulation of eIF2 alpha phosphorylation by dsRNA",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"4869"
"GO:0032938~negative regulation of translation in response to oxidative stress",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"5371"
"GO:0048626~myoblast fate specification",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"3688"
"GO:0021556~central nervous system formation",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"6711"
"GO:0002761~regulation of myeloid leukocyte differentiation",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"80762"
"GO:0040031~snRNA modification",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"56257"
"GO:0010522~regulation of calcium ion transport into cytosol",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"5371"
"GO:1990276~RNA 5'-gamma-phosphate methyltransferase activity",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"56257"
"GO:0106080~GATOR1 complex binding",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"3276"
"R-DME-611105~Respiratory electron transport",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-DME-9865881~Complex III assembly",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-DRE-9865881~Complex III assembly",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-MMU-9865881~Complex III assembly",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-SSC-9865881~Complex III assembly",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-BTA-611105~Respiratory electron transport",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-DRE-1428517~Aerobic respiration and respiratory electron transport",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-BTA-1430728~Metabolism",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-CEL-611105~Respiratory electron transport",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
"R-MMU-611105~Respiratory electron transport",0.0147058823529412,Inf,290.367647058824,0.00344390985059528,0.0550022495556237,"7386"
