"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0072141~renal interstitial fibroblast development",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"3280"
"GO:0097275~intracellular ammonium homeostasis",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"2752"
"GO:0061106~negative regulation of stomach neuroendocrine cell differentiation",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"3280"
"GO:0048239~negative regulation of DNA recombination at telomere",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"54386"
"GO:2000157~negative regulation of ubiquitin-specific protease activity",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"51035"
"GO:0042851~L-alanine metabolic process",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"84706"
"GO:1900151~regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"149041"
"GO:0072432~response to G1 DNA damage checkpoint signaling",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"317"
"GO:2000227~negative regulation of pancreatic A cell differentiation",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"3280"
"GO:0061582~intestinal epithelial cell migration",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"5781"
"GO:1903770~negative regulation of beta-galactosidase activity",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"7014"
"GO:0043379~memory T cell differentiation",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"7248"
"GO:0042748~circadian sleep/wake cycle, non-REM sleep",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"114781"
"GO:1904762~positive regulation of myofibroblast differentiation",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"142"
"GO:0051463~negative regulation of cortisol secretion",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"5781"
"GO:0060125~negative regulation of growth hormone secretion",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"5781"
"GO:0099088~axonal transport of messenger ribonucleoprotein complex",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"7014"
"GO:0035037~sperm entry",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"7337"
"GO:0070731~cGMP transport",0.00625,Inf,123.40625,0.00810331729551805,0.0933438772481892,"10057"
