"Term","Jaccard","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0048560~establishment of anatomical structure orientation",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"123016"
"GO:1905305~negative regulation of cardiac myofibril assembly",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"4089"
"GO:1902153~regulation of response to DNA damage checkpoint signaling",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"57103"
"GO:1903301~positive regulation of hexokinase activity",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"57103"
"GO:1900369~negative regulation of post-transcriptional gene silencing by regulatory ncRNA",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"103"
"GO:1904343~positive regulation of colon smooth muscle contraction",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"GO:0003251~positive regulation of cell proliferation involved in heart valve morphogenesis",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"4089"
"GO:0061040~female gonad morphogenesis",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"4089"
"GO:0043456~regulation of pentose-phosphate shunt",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"57103"
"GO:0032077~positive regulation of deoxyribonuclease activity",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"5111"
"GO:0002566~somatic diversification of immune receptors via somatic mutation",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"103"
"GO:0120072~positive regulation of pyloric antrum smooth muscle contraction",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"GO:0048211~Golgi vesicle docking",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"8615"
"GO:0021592~fourth ventricle development",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"84678"
"GO:0048698~negative regulation of collateral sprouting in absence of injury",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"23111"
"GO:0097326~melanocyte adhesion",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"GO:0021993~initiation of neural tube closure",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"84678"
"GO:0070202~regulation of establishment of protein localization to chromosome",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"23514"
"GO:0031990~mRNA export from nucleus in response to heat stress",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"7175"
"GO:0120094~negative regulation of peptidyl-lysine crotonylation",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"9425"
"GO:0010965~regulation of mitotic sister chromatid separation",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"7175"
"GO:0102149~farnesylcysteine lyase activity",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"51449"
"GO:0004578~chitobiosyldiphosphodolichol beta-mannosyltransferase activity",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"56052"
"R-HSA-9669914~Dasatinib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669929~Regorafenib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669924~Masitinib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669937~Drug resistance of KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669921~KIT mutants bind TKIs",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669933~Signaling by kinase domain mutants of KIT",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669935~Signaling by juxtamembrane domain KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-4549380~Defective ALG1 causes CDG-1k",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"56052"
"R-HSA-9669917~Imatinib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669936~Sorafenib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9680187~Signaling by extracellular domain mutants of KIT",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669934~Sunitinib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"R-HSA-9669926~Nilotinib-resistant KIT mutants",0.00909090909090909,Inf,179.5,0.00557103064066866,0.0883139219681837,"3815"
"87.Activation_ERK-MAPK_Synaptic_Act",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"5594"
"GO:0006428~isoleucyl-tRNA aminoacylation",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"55699"
"GO:0019661~glucose catabolic process to lactate via pyruvate",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"57103"
"GO:0006429~leucyl-tRNA aminoacylation",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"51520"
"GO:0030328~prenylcysteine catabolic process",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"51449"
"GO:0019858~cytosine metabolic process",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"5594"
"GO:1904976~cellular response to bleomycin",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"8914"
"GO:1905065~positive regulation of vascular associated smooth muscle cell differentiation",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"3815"
"GO:1904024~negative regulation of glucose catabolic process to lactate via pyruvate",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"57103"
"GO:0031453~positive regulation of heterochromatin formation",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"7175"
"GO:0072134~nephrogenic mesenchyme morphogenesis",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"4089"
"GO:0006425~glutaminyl-tRNA aminoacylation",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"51520"
"GO:0110061~regulation of angiotensin-activated signaling pathway",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"6093"
"GO:0000701~purine-specific mismatch base pair DNA N-glycosylase activity",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"5111"
"GO:0180017~K11-linked deubiquitinase activity",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"8239"
"GO:0045183~translation factor activity, non-nucleic acid binding",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"28985"
"GO:0097020~COPII receptor activity",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"113419"
"GO:0035276~ethanol binding",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"5581"
"GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"1666"
"GO:0004823~leucine-tRNA ligase activity",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"51520"
"GO:0001735~prenylcysteine oxidase activity",0.00900900900900901,178.68451893215,89.75,0.0111113054902191,0.111680440714458,"51449"
