Community,Functions,Top 3 miRNAs
1,"Regulation, Activity, Pyruvate + Protein, Processing, Catabolic + Cellular, Hypoxia, Responses","hsa-miR-106b-5p,
hsa-miR-93-5p,
hsa-miR-20a-5p"
2,"Mirna, Biogenesis, Genes + Mrna, Processing, Splicing + Hiv, Infection, Cycle","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-15a-5p"
3,"Acid, Alpha, Linolenic + Activates, Alk, Signaling + Protein, Deadenylation, Decay","hsa-miR-92a-3p,
hsa-miR-32-5p,
hsa-miR-455-3p"
4,"40s, Activator, Activity + Binding, Decay, Mediated","hsa-let-7c-5p,
hsa-miR-98-5p,
hsa-let-7a-5p"
5,"Activity, Ubiquitin, Protein + Transport, Protein, Membrane + Cellular, Response, Regulation","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-30b-5p"
6,"Signaling, Affecting, Akt + Apoptotic, Regulation, Activator","hsa-miR-27a-3p,
hsa-miR-27b-3p,
hsa-miR-128-3p"
7,"Mediated, Decay, Nmd + Elongation, Ii, Rna + Processing, Mrna, Rrna","hsa-miR-193b-3p,
hsa-miR-484,
hsa-miR-2355-5p"
8,"Glycolysis, Aerobic, Augmented + Binding, Neddylation, Protein + Regulation, Signaling, Cellular","hsa-miR-24-3p,
hsa-miR-23b-3p,
hsa-miR-23a-3p"
9,"Binding, Gtpases, Regulation + Class, Folding, Mhc + Membrane, Transport, Ampk","hsa-miR-142-3p,
hsa-miR-221-3p,
hsa-miR-148b-3p"
10,Not Significant,"hsa-miR-155-5p,
hsa-miR-21-5p,
hsa-miR-375"
11,"Acetyl, Coa, Activity + Endocytosis, Autophagy, Clathrin + Pathway, Cell, Regulation","hsa-miR-19b-3p,
hsa-miR-130a-3p,
hsa-miR-19a-3p"
12,"Coa, Beta, Oxidation + Acidification, Lumen, Synaptic + Mitochondrial, Translation, Transport","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-127-3p"
13,"Kinase, Activity, Inositol + Regulation, Activity, Positive + Translation, Release, Elongation","hsa-miR-125b-5p,
hsa-miR-125a-5p,
hsa-miR-140-3p"
14,Not Significant,"hsa-miR-10a-5p,
hsa-miR-183-5p,
hsa-miR-10b-5p"
15,Not Significant,"hsa-miR-320a,
hsa-miR-423-5p,
hsa-miR-365a-3p"
16,Not Significant,"hsa-miR-192-5p,
hsa-miR-374a-5p,
hsa-miR-374b-5p"
17,"Binding, Domain, Sequence + Calnexin, Calreticulin, Cell + Mrna, Mediated, Pathway","hsa-miR-186-5p,
hsa-miR-324-3p,
hsa-miR-423-3p"
18,Not Significant,"hsa-let-7b-5p,
hsa-miR-149-5p,
hsa-miR-151a-3p"
19,"Regulation, Cell, Complex + Central, Disease, Hsa05132","hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-101-3p"
20,"Activity, Pyrimidine, Biosynthesis + Transport, Protein, Golgi + Apc, Process, Anaphase","hsa-miR-34a-5p,
hsa-miR-146a-5p,
hsa-miR-146b-5p"
21,"Mrna, Processing, Pre + Rna, Transcription, Binding + Translation, Initiation, Proteasome","hsa-miR-378a-5p,
hsa-miR-361-5p,
hsa-miR-378a-3p"
22,"Histone, Methylation, Dna + Activity, Metabolism, Glycogen + Transport, Membrane, Plasma","hsa-miR-29c-3p,
hsa-miR-29a-3p,
hsa-miR-29b-3p"
23,"Protein, Geranylgeranyltransferase, Activity + Regulation, Binding, Mrna + Disease, Signaling, Pathway","hsa-miR-30a-3p,
hsa-miR-30e-3p,
hsa-miR-22-5p"
24,Not Significant,"hsa-miR-185-5p,
hsa-miR-210-3p"
