Community,Functions,Top 3 miRNAs
1,"Pathway, Apoptosis, Intrinsic + Transport, Mature, Nuclear + Ubiquitin, Protein, Activity","hsa-let-7b-5p,
hsa-let-7c-5p,
hsa-let-7a-5p"
2,"Biosynthetic, Phosphatidylinositol, Process + Cell, Migration, Ameboidal + Transport, Golgi, Er","hsa-miR-17-5p,
hsa-miR-93-5p,
hsa-miR-186-5p"
3,"Coa, Oxidation, Beta + Regulation, Positive, Differentiation + Cell, Dna, Genes","hsa-miR-26b-5p,
hsa-miR-34a-5p,
hsa-miR-200b-3p"
4,"Ribosomal, Cytoplasmic, Rrna + Transport, Membrane, Vesicle + Binding, Regulation, Rna","hsa-miR-155-5p,
hsa-miR-92b-3p,
hsa-miR-142-3p"
5,"Response, Genes, Mir + Glycosylation, G1, Glycan + Binding, Protein, Enzyme","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-30b-5p"
6,"Activity, Beta, Catabolic + Binding, Metabolism, Protein + Sphingolipid, Metabolism, Hsa00600","hsa-miR-24-3p,
hsa-miR-128-3p,
hsa-miR-26a-5p"
7,"Membrane, Protein, Transport + Binding, Reabsorption, Vasopressin + Regulation, G2, Transition","hsa-miR-92a-3p,
hsa-miR-455-3p,
hsa-miR-25-3p"
8,"Cell, Involved, Proliferation + Protein, Process, Membrane + Activation, Nuclear, Mapk","hsa-miR-21-5p,
hsa-miR-181a-5p,
hsa-miR-181b-5p"
9,"Stress, Degradation, Factor + Translation, Eukaryotic, Initiation + Mediated, Membrane, Nmd","hsa-miR-484,
hsa-miR-222-3p,
hsa-miR-221-3p"
10,"Membrane, Protein, Atp + Genes, Mir, Targeted + Signaling, Events, Cellular","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-103a-3p"
11,"Ribosomal, Subunit, Nucleus + Glycolysis, Metabolism, Glucose + Regulation, Expression, Mitotic","hsa-miR-125b-5p,
hsa-miR-125a-5p,
hsa-miR-197-3p"
12,"Complex, Assembly, Iii + Electron, Transport, Respiratory + Regulation, Signaling, Positive","hsa-miR-23b-3p,
hsa-miR-342-3p,
hsa-miR-23a-3p"
13,"G1, Cell, Cycle + Gene, Expression, Regulation + Genes, Mir, Mrna","hsa-miR-375,
hsa-miR-320a,
hsa-miR-145-5p"
14,Not Significant,"hsa-miR-150-5p,
hsa-miR-10a-5p,
hsa-miR-10b-5p"
15,"Protein, Activity, Lysine + Regulation, Positive, Negative + Kinase, Cyclin, Activity","hsa-miR-29b-3p,
hsa-let-7g-5p,
hsa-miR-29a-3p"
16,"Regulation, Cellular, Negative + Complex, Assembly, Decay + Binding, Rna, Dol","hsa-miR-100-5p,
hsa-miR-378a-5p,
hsa-miR-423-5p"
17,"Morphogenesis, Cardiac, Involved + Cell, Differentiation, Regulation + Regulation, Negative, Cell","hsa-miR-146a-5p,
hsa-miR-146b-3p,
hsa-miR-146b-5p"
