Community,Functions,Top 3 miRNAs
1,"Regulation, Assembly, Srebp + Mitochondrial, Protein, Catabolic + Chromatin, Dna, Repair","hsa-miR-193b-3p,
hsa-miR-21-5p,
hsa-miR-186-5p"
2,"Biosynthesis, Metabolism, Process + Sumo, Sumoylation, Proteins + Trna, Amino, Aminoacyl","hsa-let-7b-5p,
hsa-let-7a-5p,
hsa-let-7c-5p"
3,"Cell, Differentiation, Regulation + Regulation, Protein, Negative + Ubiquitin, Protein, Catabolic","hsa-miR-93-5p,
hsa-miR-20a-5p,
hsa-miR-17-5p"
4,"Protein, Ubiquitin, Binding + Host, Viral, Budding + Signaling, Receptor, Tlr4","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-15b-5p"
5,"Transport, Golgi, Vesicle + Infection, Activity, Processing + Regulation, Development, Microtubule","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-30b-5p"
6,"Protein, Activity, Catabolic + Gtpase, Cycle, Transport + Cell, Genes, Mir","hsa-miR-155-5p,
hsa-miR-26b-5p,
hsa-miR-150-5p"
7,"Binding, Protein, Response + Translation, Eukaryotic, Initiation + Transport, Golgi, Cellular","hsa-miR-92a-3p,
hsa-miR-455-3p,
hsa-miR-92b-3p"
8,"Collagen, Biosynthesis, Assembly + Protein, Binding, Rna + Factor, Growth, Signaling","hsa-miR-34a-5p,
hsa-miR-29c-3p,
hsa-miR-140-3p"
9,"Mrna, Erad, Rna + Damage, Dna, G1 + Regulation, Ligand, Runx3","hsa-miR-125b-5p,
hsa-miR-320a,
hsa-miR-10b-5p"
10,"Aspartate, Process, Malate + Regulation, Cellular, Negative + Protein, Import, Nucleus","hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-342-3p"
11,"Rrna, Lsu, 8s + Elongation, Translational, Positive + Activity, Adhesion, Apoptotic","hsa-miR-100-5p,
hsa-miR-375,
hsa-miR-99a-5p"
12,"Apc, Mediated, Degradation + Regulation, Actin, Membrane + Protein, Proteasome, Response","hsa-miR-149-5p,
hsa-miR-378a-5p,
hsa-miR-200b-3p"
13,"Apoptotic, Binding, Domain + Transport, Golgi, Copi","hsa-miR-128-3p,
hsa-miR-183-5p,
hsa-miR-27b-3p"
14,"Cellular, Edmd, Envelope + Rna, Splicing, Binding","hsa-miR-24-3p,
hsa-miR-27a-3p,
hsa-miR-185-5p"
15,"Complex, Assembly, Iii + Transport, Electron, Respiratory + Metabolism, Acids, Derivatives","hsa-miR-23b-3p,
hsa-miR-324-3p,
hsa-miR-23a-3p"
16,"Phosphatase, Activity, Phosphate + Activity, Atp, Process + Regulation, Assembly, Development","hsa-miR-361-5p,
hsa-miR-374a-3p"
