Community,Functions,Top 3 miRNAs
1,"Protein, Proteins, Sumoylation + Binding, Receptor, Factor + Syndrome, Response, Metabolism","hsa-miR-218-5p,
hsa-miR-16-5p,
hsa-miR-15b-5p"
2,"Signaling, Dna, Electron + Initiation, Factor, Assembly + Translation, Protein, 107","hsa-miR-455-3p,
hsa-miR-24-3p,
hsa-miR-30c-2-3p"
3,"Protein, Regulation, Binding + Mitochondrial, Transport, Electron + Biogenesis, Cluster, Iron","hsa-miR-26b-5p,
hsa-miR-155-5p,
hsa-miR-1976"
4,"Protein, Process, Assembly + Mrna, Rna, Mir + Cellular, Biogenesis, Regulation","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-423-3p"
5,"Trna, Metabolism, Aminoacyl + Maintenance, Mir, Repair + Signaling, Regulation, Alternative","hsa-miR-744-5p,
hsa-miR-186-5p,
hsa-miR-324-3p"
6,"Translation, Mitochondrial, Cycle + Transport, Mediated, Regulation + Biosynthesis, Glycan, Glycosylation","hsa-let-7b-5p,
hsa-miR-98-5p,
hsa-let-7c-5p"
7,Not Significant,"hsa-miR-20b-5p,
hsa-miR-106a-5p,
hsa-miR-17-5p"
8,"Regulation, Negative, Biosynthetic + Transport, Adp, Membrane + Binding, Signaling, Animal","hsa-miR-19b-3p,
hsa-miR-19a-3p,
hsa-miR-152-3p"
9,"Genes, Mir, Targeted + Activity, Protein, Activator + Cancer, Signaling, Agents","hsa-miR-27b-3p,
hsa-miR-27a-3p,
hsa-miR-181a-5p"
10,"Protein, Kinase, Activity + Regulation, Cellular, Differentiation + Apoptosis, Apoptotic, Pten","hsa-miR-192-5p,
hsa-miR-125b-5p,
hsa-miR-199a-3p"
11,"Cancer, Domain, Mh2 + Autophagy, Assembly, Autophagosome + Binding, Protein, Ubiquitin","hsa-miR-497-5p,
hsa-miR-103a-3p,
hsa-miR-424-5p"
12,"Biogenesis, Chorion, Cytosol + Protein, Catabolic, Process + Protein, Folding, Transport","hsa-miR-34a-5p,
hsa-miR-320a,
hsa-miR-196a-5p"
13,"Acetyllactosamine, Antennae, Beta + Receptor, Adaptor, Axonogenesis + Regulation, Positive, Calcium","hsa-miR-30e-5p,
hsa-miR-30d-5p,
hsa-miR-30b-5p"
14,Not Significant,"hsa-miR-484,
hsa-miR-32-5p,
hsa-miR-92b-3p"
15,Not Significant,"hsa-miR-197-3p,
hsa-miR-21-5p,
hsa-miR-142-3p"
