Community,Functions,Top 3 miRNAs
1,"Binding, Activation, Signaling + Autophagy, Mediated, Biogenesis + Signaling, Pathway, Gtpases","hsa-miR-106b-5p,
hsa-miR-93-5p,
hsa-miR-17-5p"
2,"Translation, Initiation, Translational + Protein, Binding, Proteins + Golgi, Transport, Vesicle","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-30b-5p"
3,"Ras, Activation, Regulation + Glycolysis, Metabolism, Activity + Erbb2, Ubiquitin, Signaling","hsa-let-7e-5p,
hsa-miR-27b-3p,
hsa-miR-23b-3p"
4,"Activity, Kinase, Inositol + Deficiency, Metabolism, Mitochondrial + Protein, Ubiquitin, Binding","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-15b-5p"
5,"Integrin, Binding, Membrane + Rna, Chromatin, Dna + Cycle, Cell, Mitotic","hsa-miR-192-5p,
hsa-miR-29b-3p,
hsa-miR-183-5p"
6,"Mutants, Ctnnb1, Aren + Cycle, Aka, Budding + Amer1, Signaling, Mutants","hsa-miR-484,
hsa-miR-24-3p,
hsa-miR-342-3p"
7,"Binding, Acid, Activity + Assembly, Body, Multivesicular + Transport, Genes, Mir","hsa-miR-155-5p,
hsa-miR-186-5p,
hsa-miR-142-3p"
8,"Cell, Positive, Beta + Regulation, Cellular, Mitochondrion + Damage, Decay, G1","hsa-miR-10a-5p,
hsa-miR-125b-5p,
hsa-miR-10b-5p"
9,"Acid, Fatty, Tca + Binding, Protein, Complex","hsa-miR-21-5p,
hsa-miR-23a-3p,
hsa-miR-210-3p"
10,"Regulation, Assembly, Negative + Binding, Domain, Protein + Host, Virus, Receptor","hsa-miR-34a-5p,
hsa-miR-320a,
hsa-miR-196a-5p"
11,Not Significant,"hsa-let-7b-5p,
hsa-let-7i-5p,
hsa-let-7d-5p"
12,Not Significant,"hsa-miR-181b-5p,
hsa-miR-181a-5p,
hsa-miR-455-3p"
13,Not Significant,"hsa-miR-25-3p,
hsa-miR-92b-3p,
hsa-miR-92a-3p"
14,"Mras, Complex, Function + Atp, Chaperone, Dependent","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-28-3p"
15,Not Significant,"hsa-miR-148b-3p,
hsa-miR-148a-3p,
hsa-miR-152-3p"
16,"Dna, Binding, Bending + Fatty, Acid, Omega + Mitochondrial, Mll3, Mll4","hsa-miR-374a-5p,
hsa-miR-22-3p,
hsa-miR-374b-5p"
17,"Binding, Transcription, Regulation + Mitochondrial, Protein, Membrane + Beta, Receptor, Signaling","hsa-miR-221-3p,
hsa-miR-222-3p"
18,"Response, Stress, Endothelial + Akt, Cancer, Cd28 + Assembly, Autophagosome, Binding","hsa-miR-101-3p,
hsa-miR-451a"
