Community,Functions,Top 3 miRNAs
1,"Trna, Aminoacyl, Aminoacylation + Transport, Acid, Assembly + Translation, Regulation, Positive","hsa-miR-155-5p,
hsa-miR-21-5p,
hsa-miR-92b-3p"
2,"Ubiquitin, Protein, Activity + Nucleus, Protein, Transport + Hiv, Cycle, Life","hsa-miR-93-5p,
hsa-miR-106b-5p,
hsa-miR-17-5p"
3,"Body, Multivesicular, Sorting + Membrane, Transport, Nuclear + Signaling, Mutants, Ctnnb1","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-103a-3p"
4,"Artery, Extension, Morphogenesis + Kinase, Ctd, Heptapeptide + Apoptotic, Process, Regulation","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-222-3p"
5,"Trna, Aminoacylation, Rrna + Nf, Activation, Kb + Protein, Transport, Membrane","hsa-let-7b-5p,
hsa-let-7c-5p,
hsa-miR-23b-3p"
6,"Ubiquitin, Protein, E1 + Signaling, Gtpases, Receptor + Transport, Protein, Vesicle","hsa-miR-30c-5p,
hsa-miR-30a-5p,
hsa-miR-30b-5p"
7,"Binding, Rna, Dna + Kinase, Nr1h2, Nr1h3 + Regulation, Tp53, Maintenance","hsa-miR-20b-5p,
hsa-miR-374a-5p,
hsa-miR-185-5p"
8,"Regulation, Positive, Transcription + Adhesion, Cell, Aggregation + Protein, Response, Chaperone","hsa-miR-19b-3p,
hsa-miR-130a-3p,
hsa-miR-204-5p"
9,"Activity, Regulation, Binding + Camera, Development, Eye + Cell, Cycle, Division","hsa-miR-34a-5p,
hsa-miR-24-3p,
hsa-miR-744-5p"
10,Not Significant,"hsa-miR-98-5p,
hsa-let-7e-5p,
hsa-let-7d-5p"
11,"Erbb2, Signaling, Sumo + Signaling, Downstream, Egfr + Gtpase, Cycle, Activating","hsa-miR-455-3p,
hsa-miR-29b-3p,
hsa-miR-29a-3p"
12,Not Significant,"hsa-miR-92a-3p,
hsa-miR-142-3p,
hsa-miR-32-5p"
13,"Metabolism, Process, Acid + Decay, Nmd, Nonsense + Processing, Dependent, Ribosomal","hsa-miR-10a-5p,
hsa-miR-125b-5p,
hsa-miR-125a-5p"
14,Not Significant,"hsa-miR-192-5p,
hsa-miR-532-3p,
hsa-miR-100-5p"
15,"Chromatin, Enzymes, H3k36 + Processing, Mrna, Binding + Splicing, Mrna, Pathway","hsa-miR-186-5p,
hsa-miR-197-3p,
hsa-miR-361-5p"
16,"Binding, Factor, Initiation + Metabolism, Negative, Regulation + Carcinogenesis, Cardiomyopathy, Chemical","hsa-miR-320a,
hsa-miR-27b-3p"
17,"Regulation, Positive, Mismatch + Metabolism, Reductase, Activity + Immune, Responses, Disease","hsa-miR-324-3p,
hsa-miR-1180-3p"
