Community,Functions,Top 3 miRNAs
1,"Membrane, Transport, Golgi + Interferon, Infection, Virus + Signaling, Regulation, Activity","hsa-miR-19b-3p,
hsa-miR-17-5p,
hsa-miR-19a-3p"
2,"Metabolism, Hydroxylation, Proline + Regulation, Cellular, Response + Signaling, Notch, Regulates","hsa-miR-92a-3p,
hsa-miR-25-3p,
hsa-miR-331-3p"
3,"Defective, Recombination, Telomere + Binding, Dna, Single + Chromatin, Protein, Ubiquitin","hsa-miR-24-3p,
hsa-miR-21-5p,
hsa-miR-200c-3p"
4,"Disease, Signaling, Acids + Mutants, Signaling, Ctnnb1 + Regulation, Cell, Cellular","hsa-miR-484,
hsa-miR-15a-5p,
hsa-miR-23a-3p"
5,"Membrane, Transport, Vesicle + Cellular, Response, Anesthetic + Binding, Protein, Centrosome","hsa-let-7a-5p,
hsa-let-7e-5p,
hsa-let-7c-5p"
6,"Atp, Nucleoside, Organization + Phosphatase, Activity, Autophagy + Rna, Mrna, Binding","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-320a"
7,"Binding, Vitamin, Receptor + Transcription, Ii, Polymerase + Cellular, Er, Golgi","hsa-let-7b-5p,
hsa-miR-10a-5p,
hsa-miR-339-5p"
8,"Fgfr2, Mrna, Alternative + Hiv, Elongation, Complex + Autophagy, Disease, Infectious","hsa-miR-324-3p,
hsa-miR-766-3p,
hsa-miR-23a-5p"
9,"Dna, Regulation, Transcription + Transport, Membrane, Protein + Gdp, Binding","hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-222-3p"
10,"Apc, Degradation, Mediated + Mrna, Splicing, Regulation + Proteasome, Degradation, Mediated","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-142-3p"
11,"Protein, Metabolism, Acid + Translation, Eukaryotic, Initiation + Ribosomal, Rrna, Processing","hsa-miR-22-3p,
hsa-miR-378a-5p,
hsa-miR-140-3p"
12,"Loop, Processing + Nuclear, Pore, Complex + Signaling, Interleukin, Mrna","hsa-miR-27a-3p,
hsa-miR-9-5p,
hsa-miR-130b-5p"
13,"Protein, Activity, Metabolism + Assembly, Chromatin, Junction + Interleukin, Signaling, Cell","hsa-miR-155-5p,
hsa-miR-146a-5p,
hsa-miR-505-3p"
14,"Binding, Receptor, Fibroblast + Cancer, Acetylglucosamine, Transmembrane + Histone, Activity, Acetyltransferase","hsa-miR-744-5p,
hsa-miR-30a-5p,
hsa-miR-148a-3p"
15,"Glycan, Biosynthesis, Activity + Receptor, Signaling, Alk + Binding, Modification, Protein","hsa-miR-30c-5p,
hsa-miR-30b-5p,
hsa-miR-30d-5p"
16,Not Significant,"hsa-miR-197-3p,
hsa-miR-192-5p,
hsa-miR-150-5p"
17,"Process, Apoptotic, Cell + Regulation, Negative, Positive + Protein, Activity, Kinase","hsa-miR-148b-3p,
hsa-miR-183-5p,
hsa-miR-29a-3p"
18,Not Significant,"hsa-miR-374a-5p,
hsa-miR-374b-5p,
hsa-miR-505-5p"
19,Not Significant,"hsa-miR-186-5p,
hsa-miR-590-5p"
20,"Morphogenesis, Cardiac, Involved + Cell, Differentiation, Development + Localization, Protein, Regulation","hsa-miR-23b-3p,
hsa-miR-145-5p,
hsa-miR-199a-3p"
