Community,Functions,Top 3 miRNAs
1,"Binding, Protein, Regulation + Activity, Cycle, Signaling + Signaling, Ca, Development","hsa-miR-93-5p,
hsa-miR-19b-3p,
hsa-miR-20a-5p"
2,"Regulation, Viral, Transcription + Translation, Initiation, Translational + Protein, Metabolism, Cellular","hsa-miR-484,
hsa-miR-324-3p,
hsa-miR-100-5p"
3,"Genes, Mir, Targeted + Binding, Mrna, Rna","hsa-let-7b-5p,
hsa-let-7e-5p,
hsa-miR-98-5p"
4,"Genes, Cell, Mir + Activity, Helicase, Cellular + Transcription, Rna, Polymerase","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-30b-5p"
5,"Protein, Process, Proteins + Histone, Acetyltransferase, Activity + Signaling, Activated, Ntrk2","hsa-miR-149-5p,
hsa-miR-23b-3p,
hsa-miR-145-5p"
6,"Mitotic, Anaphase, Cell + Mrna, Splicing, Rna + Cov, Disease, Infection","hsa-miR-129-5p,
hsa-miR-29b-3p,
hsa-miR-29c-3p"
7,"Cell, Epithelial, Prostate + Metabolism, Acids, Ceruloplasmin + Mrna, Rna, Splicing","hsa-miR-193b-3p,
hsa-miR-769-5p,
hsa-miR-150-5p"
8,"Processing, Translation, Mrna + Binding, Rna, Complex + Splicing, Mrna, Regulation","hsa-miR-15b-5p,
hsa-miR-16-5p,
hsa-miR-15a-5p"
9,"Cct, Folding, Tric + Histone, Activity, H3k4 + Signaling, Pathway, Pathways","hsa-miR-27b-3p,
hsa-miR-27a-3p,
hsa-miR-423-5p"
10,"Metabolism, Recycling, Transport + Ii, Polymerase, Transcription + Binding, Ribosomal, Decay","hsa-miR-24-3p,
hsa-miR-455-3p,
hsa-miR-197-3p"
11,Not Significant,"hsa-miR-103a-3p,
hsa-miR-107,
hsa-miR-146b-5p"
12,"Mrna, Regulation, Splicing + Cell, Signaling, Cellular + Signaling, Receptor, Acid","hsa-miR-128-3p,
hsa-miR-139-5p,
hsa-miR-181a-5p"
13,"Rna, Mrna, Binding + Activity, Cell, Cellular + Atp, Activity, Chaperone","hsa-miR-744-5p,
hsa-miR-132-3p,
hsa-miR-192-5p"
14,"Mutants, Ctnnb1, Signaling + Nuclear, Proteins, Sumoylation + Transport, Mature, Mrna","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-340-3p"
15,"Ion, Response, Lead + Gtpases, Rho, Signaling + Transport, Anterograde, Golgi","hsa-miR-9-5p,
hsa-miR-183-5p,
hsa-miR-182-5p"
16,"Golgi, Reassembly + Proteins, Sumoylation, Translational + Mrna, Splicing, Rna","hsa-miR-186-5p,
hsa-miR-361-5p,
hsa-miR-28-5p"
17,"Protein, Pathway, Process + Nucleocytoplasmic, Transport, Activation + Rna, Binding, Mrna","hsa-miR-324-5p,
hsa-miR-148a-3p,
hsa-miR-148b-3p"
18,Not Significant,"hsa-miR-142-3p,
hsa-miR-125a-5p,
hsa-miR-1307-3p"
19,Not Significant,"hsa-miR-92b-3p,
hsa-miR-629-5p,
hsa-miR-151a-3p"
