Community,Functions,Top 3 miRNAs
1,"Regulation, Cell, Protein + Receptor, Binding, Signaling + Cov, Sars, Host","hsa-miR-17-5p,
hsa-miR-93-5p,
hsa-miR-106b-5p"
2,"Signaling, Production, Tgf + Cancer, Smad4, Smad2 + Activity, Metabolism, Biosynthesis","hsa-miR-34a-5p,
hsa-miR-181a-5p,
hsa-miR-375"
3,"Trna, Ribosome, Rrna + Transcription, Rna, Polymerase + Mrna, Metabolism, Processing","hsa-let-7b-5p,
hsa-let-7a-5p,
hsa-let-7e-5p"
4,"Cell, Development, Bergmann + Protein, Transport, Lysosome + Signaling, Pathway, Gtpases","hsa-miR-16-5p,
hsa-miR-455-3p,
hsa-miR-15b-5p"
5,"Regulation, Cellular, Signaling + Electron, Transport, Atp + G1, Damage, Dna","hsa-miR-125b-5p,
hsa-miR-10a-5p,
hsa-miR-125a-5p"
6,"Cell, Migration, Cov + Regulation, Negative, Protein + Mrna, Transcription, Regulation","hsa-miR-155-5p,
hsa-miR-26b-5p,
hsa-miR-186-5p"
7,"Ner, Tc, Repair + Signaling, Cell, Receptor + Cellular, Response, Mediated","hsa-miR-30a-5p,
hsa-miR-30b-5p,
hsa-miR-30c-5p"
8,Not Significant,"hsa-miR-27a-3p,
hsa-miR-24-3p,
hsa-miR-183-5p"
9,"Mediated, Pathway, Anchor + Binding, Activity, Demethylase + Biological, Process, Rhythmic","hsa-miR-29a-3p,
hsa-miR-26a-5p,
hsa-miR-29c-3p"
10,"Dna, Complex, Formation + Regulation, Cell, Development + Metabolism, Atp, Transport","hsa-miR-100-5p,
hsa-miR-22-3p,
hsa-miR-99a-5p"
11,"Binding, Signaling, Gtpases + Mrna, Splicing, Peroxisomal + Bone, Degranulation, Development","hsa-miR-744-5p,
hsa-miR-331-3p,
hsa-miR-23b-3p"
12,Not Significant,"hsa-miR-92a-3p,
hsa-miR-25-3p,
hsa-miR-92b-3p"
13,Not Significant,"hsa-miR-21-5p,
hsa-miR-222-3p,
hsa-miR-130a-3p"
14,"Genes, Mir, Regulation + Transport, Protein, Vesicle + Translation, Protein, 40s","hsa-miR-103a-3p,
hsa-miR-15a-5p,
hsa-miR-197-3p"
15,Not Significant,"hsa-let-7d-5p,
hsa-miR-98-5p,
hsa-miR-146b-5p"
16,Not Significant,"hsa-miR-150-5p,
hsa-miR-361-5p"
