Community,Functions,Top 3 miRNAs
1,"Autophagy, Cell, Domain + Cellular, Responses, Complex + Iron, Transport, Binding","hsa-miR-17-5p,
hsa-miR-93-5p,
hsa-miR-20a-5p"
2,"Development, Domain, Mutants + Receptor, Signaling, Growth + Signaling, Ras, Regulation","hsa-miR-16-5p,
hsa-miR-195-5p,
hsa-miR-497-5p"
3,"Ras, G1, Mutants + Regulation, Binding, Protein + Signaling, Disease, Constitutive","hsa-let-7b-5p,
hsa-let-7a-5p,
hsa-let-7e-5p"
4,"Protein, Ubiquitin, 60s + Binding, Translation, Complex + Cov, Sars, Infection","hsa-miR-155-5p,
hsa-miR-21-5p,
hsa-miR-340-5p"
5,"Protein, Ubiquitin, Binding + Genes, Mir, Targeted + Differentiation, Responses, Cellular","hsa-miR-27a-3p,
hsa-miR-128-3p,
hsa-miR-27b-3p"
6,"Acid, Metabolism, Omega + Cell, Gtpase, Hiv + Transport, Golgi, Er","hsa-miR-92a-3p,
hsa-miR-92b-3p,
hsa-miR-25-3p"
7,"Metabolism, Acids, Amino + Rna, Genes, Mir + Transport, Protein, Regulation","hsa-miR-30b-5p,
hsa-miR-30d-5p,
hsa-miR-30a-5p"
8,"Stress, Endothelial, Shear + Protein, Activity, Serine + Inhibitors, Signaling, 124","hsa-miR-186-5p,
hsa-miR-192-5p,
hsa-miR-125b-5p"
9,"Regulation, Transport, Vesicle + Glycolysis, Aerobic, Augmented + Decay, Nmd, Nonsense","hsa-miR-484,
hsa-miR-218-5p,
hsa-miR-185-5p"
10,"Dna, Replication, Initiation + Activity, Helicase, Stranded + Transport, Respiratory, Electron","hsa-miR-26b-5p,
hsa-miR-34a-5p,
hsa-miR-26a-5p"
11,Not Significant,"hsa-miR-222-3p,
hsa-miR-221-3p,
hsa-miR-652-3p"
12,"Cellular, Response, Activity + Signaling, Receptor, Pten + Erbb2, Mutants, Expression","hsa-miR-23b-3p,
hsa-miR-200b-3p,
hsa-miR-375"
13,"Factor, Growth, Binding + Collagen, Biosynthetic, Exposed + Integrin, Binding, Cell","hsa-miR-29b-3p,
hsa-miR-29a-3p,
hsa-miR-29c-3p"
14,"Sumoylation, Binding, Proteins + Kinase, Activity, Inositol + Regulation, Rna, Cycle","hsa-miR-324-5p,
hsa-miR-378a-5p,
hsa-miR-145-5p"
15,"Cascade, Cov, Hijack + Binding, Mrna, Ribosomal + Translation, Initiation, Mitochondrial","hsa-miR-24-3p,
hsa-miR-150-5p,
hsa-miR-425-5p"
16,"Positive, Cell, Regulation + Presentation, Antigen, Processing + Rna, Protein, Activity","hsa-miR-10a-5p,
hsa-miR-183-5p,
hsa-miR-10b-5p"
17,"Binding, Complex, Activity + Translation, Eukaryotic, Initiation + Translation, Host, Cov","hsa-miR-193b-3p,
hsa-miR-342-3p,
hsa-miR-22-3p"
18,Not Significant,"hsa-miR-148a-3p,
hsa-miR-148b-3p,
hsa-miR-152-3p"
19,"Lipid, Transport, Regulation + Response, Activity, Acid + Protein, Folding, Mediated","hsa-miR-93-3p,
hsa-miR-199a-5p,
hsa-miR-199b-5p"
