Community,Functions,Top 3 miRNAs
1,"Protein, Folding, Membrane + Rrna, Ribosomal, Subunit + Regulation, Signaling, Binding","hsa-miR-744-5p,
hsa-miR-324-3p,
hsa-miR-125b-5p"
2,"Membrane, Nuclear, Transport + Binding, Protein, Ubiquitin + Glutamate, Metabolism, Events","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-195-5p"
3,Not Significant,"hsa-let-7b-5p,
hsa-let-7c-5p,
hsa-miR-150-5p"
4,"Regulation, Circadian, Cycle + Glucagon, Cellular, Stimuli + Endothelial, Shear, Response","hsa-miR-20a-5p,
hsa-miR-17-5p,
hsa-miR-106b-5p"
5,"Regulation, Negative, Vesicle + Protein, Transport, Energy + Signaling, Mutants, Kinase","hsa-miR-30c-5p,
hsa-miR-30a-5p,
hsa-miR-30b-5p"
6,"Kinase, Met, Negative + Translation, Regulation, Initiation + Dna, Repair, Damage","hsa-miR-21-5p,
hsa-miR-19b-3p,
hsa-miR-19a-3p"
7,"Pentose, Biosynthetic, Gtpase + Protein, Transport, Binding","hsa-miR-92a-3p,
hsa-miR-32-5p,
hsa-miR-92b-3p"
8,"Activator, Npc, Pore + Ctnnb1, Mutants, Aren + Protein, Endoplasmic, Glycolysis","hsa-miR-218-5p,
hsa-miR-375,
hsa-miR-186-5p"
9,"Mitochondrial, Transport, Acyl + Cycle, Tca, Biosynthetic + Cell, Cellular, Genes","hsa-miR-27a-3p,
hsa-miR-27b-3p,
hsa-miR-221-3p"
10,"Rna, Metabolic, Metabolism + Mrna, Processing, Mature + Protein, Activity, Asparagine","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-423-5p"
11,"Protein, Localization, Proteins + Receptor, Signaling, Lectin + Regulation, Membrane, Transport","hsa-miR-141-3p,
hsa-miR-200b-3p,
hsa-miR-200a-3p"
12,"Processing, Mrna, Proteins + Dna, Repair, Damage + Rna, Binding, Mrna","hsa-miR-192-5p,
hsa-miR-149-5p,
hsa-miR-423-3p"
13,Not Significant,"hsa-miR-155-5p,
hsa-miR-142-3p,
hsa-miR-142-5p"
14,"Binding, Response, Unfolded + Translation, Complex, Initiation","hsa-miR-98-5p,
hsa-miR-320a,
hsa-let-7g-5p"
15,"Apoptotic, Cellular, Hyperosmotic + Binding, Gtpases, Mrna + Translation, Initiation, Dependent","hsa-miR-34a-5p,
hsa-miR-484,
hsa-miR-194-5p"
16,Not Significant,"hsa-miR-193b-3p,
hsa-miR-23b-3p,
hsa-miR-23a-3p"
17,"Binding, Vwf, Defective + Adamts13, Cleavage, Variant + Collagen, Exposed, Fibril","hsa-miR-29b-3p,
hsa-miR-29c-3p,
hsa-miR-29a-3p"
18,"Regulation, Membrane, Negative + Receptors, Ampa, Binding + Signaling, Development, Lung","hsa-miR-128-3p,
hsa-miR-140-3p,
hsa-miR-532-3p"
19,"Rrna, 8s, Lsu + Mitochondrial, Translation, Acyltransferase","hsa-miR-24-3p,
hsa-miR-143-5p,
hsa-miR-197-3p"
20,Not Significant,"hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-181c-5p"
21,Not Significant,"hsa-miR-10a-5p,
hsa-miR-30e-3p,
hsa-miR-143-3p"
22,Not Significant,"hsa-miR-365a-3p,
hsa-miR-146a-5p,
hsa-miR-365b-3p"
