Community,Functions,Top 3 miRNAs
1,"Collagen, Matrix, Extracellular + Junction, Gap, Trafficking + Translation, Eukaryotic, Elongation","hsa-miR-484,
hsa-miR-149-5p,
hsa-miR-192-5p"
2,"Binding, Chromatin, Rna + Transport, Golgi, Protein","hsa-miR-17-5p,
hsa-miR-20a-5p,
hsa-miR-93-5p"
3,"Activity, Metabolism, Protein + Binding, Complex, 43s + Ribosomal, Decay, Nmd","hsa-miR-320a,
hsa-miR-744-5p,
hsa-miR-324-3p"
4,"Domain, L27, Macroautophagy + Activity, Acetyltransferase, Histone + Binding, Proteins, Sumoylation","hsa-miR-21-5p,
hsa-miR-155-5p,
hsa-miR-374a-5p"
5,"Asparagine, Aspartate, Malate + Protein, Transport, Proteins + Trna, Aminoacyl, Aminoacylation","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-15a-5p"
6,"Signaling, Mutants, Transport + Signaling, Beta, Disease + Mrna, Binding, Processing","hsa-miR-26b-5p,
hsa-miR-19b-3p,
hsa-miR-26a-5p"
7,"Clathrin, Endocytosis, Dependent + Mitochondrial, Translation, Protein + Genes, Mir, Targeted","hsa-let-7b-5p,
hsa-miR-98-5p,
hsa-let-7c-5p"
8,"Transport, Antigen, Biosynthetic + Elongation, Hiv, Recovery + Mrna, Splicing, Acting","hsa-miR-92a-3p,
hsa-miR-32-5p,
hsa-miR-455-3p"
9,"Activity, Glycolysis, Prenyltransferase + Rho, Activate, Antigen + Folding, Chaperone, Tubulin","hsa-miR-30a-5p,
hsa-miR-30b-5p,
hsa-miR-30c-5p"
10,"Acid, Biosynthetic, Fatty + Cycle, Endocytosis, Mediated + Protein, Atp, Transport","hsa-miR-186-5p,
hsa-miR-34a-5p,
hsa-miR-100-5p"
11,"Cellular, Epithelial, Responses + Cell, Actin, Filament + Protein, Process, Asparagine","hsa-miR-375,
hsa-miR-532-3p,
hsa-miR-338-3p"
12,Not Significant,"hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-181c-5p"
13,Not Significant,"hsa-miR-27a-3p,
hsa-miR-27b-3p,
hsa-miR-145-5p"
14,Not Significant,"hsa-miR-221-3p,
hsa-miR-423-5p,
hsa-miR-146a-5p"
15,"Erbb2, Mutants, Resistance + Protein, Binding, Vacuole + Antigen, Class, Mhc","hsa-miR-148b-3p,
hsa-miR-148a-3p,
hsa-miR-2355-5p"
16,Not Significant,"hsa-miR-125b-5p,
hsa-let-7e-5p,
hsa-miR-125a-5p"
17,Not Significant,"hsa-miR-199a-3p,
hsa-miR-199b-3p,
hsa-miR-30a-3p"
18,Not Significant,hsa-miR-24-3p
