Community,Functions,Top 3 miRNAs
1,"Regulation, Activity, Response + Ribosomal, Subunit, Ribosome + Protein, Proteins, Binding","hsa-miR-24-3p,
hsa-miR-92b-3p,
hsa-miR-26a-5p"
2,"Cholesterol, Biosynthesis, Metabolism + Regulation, Tp53, Signaling + Binding, Gene, Rna","hsa-miR-218-5p,
hsa-miR-100-5p,
hsa-miR-34a-5p"
3,"Protein, Binding, Regulation + Signaling, Regulation, Cancer + Actin, Activin, Filament","hsa-miR-17-5p,
hsa-miR-20a-5p,
hsa-miR-106b-5p"
4,"Regulation, Cell, Positive + Ubiquitin, Protein, Deficiency + Nuclear, Trna, Nucleus","hsa-miR-222-3p,
hsa-miR-221-3p,
hsa-miR-193b-3p"
5,"Activity, Adp, Nad + Transport, Calcium, Cov + Glycolysis, Aerobic, Chromatin","hsa-miR-30c-5p,
hsa-miR-30a-5p,
hsa-miR-26b-5p"
6,"Autophagosome, Bergmann, Differentiation + Cycle, Gtpase, H3k4 + Binding, Gtpases, Signaling","hsa-miR-484,
hsa-let-7d-5p,
hsa-let-7b-5p"
7,"Binding, Protein, Receptor + Regulation, Process, Negative + Endocytosis, Endoderm, Mesoderm","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-15b-5p"
8,"Regulation, Negative, Cell + Mediated, Activity, Decay + Signaling, Rho, Gtpases","hsa-miR-92a-3p,
hsa-miR-32-5p,
hsa-miR-25-3p"
9,Not Significant,"hsa-miR-375,
hsa-miR-192-5p,
hsa-miR-150-5p"
10,"Cell, Genes, Mir + 2p34, Activity, Asparagine","hsa-miR-27b-3p,
hsa-miR-27a-3p,
hsa-miR-9-5p"
11,Not Significant,"hsa-miR-21-5p,
hsa-miR-197-3p,
hsa-miR-423-3p"
12,"Complex, Decay, Nmd + Rna, Mrna, Processing + Translation, Eukaryotic, Initiation","hsa-let-7c-5p,
hsa-miR-30c-2-3p,
hsa-miR-107"
13,"Collagen, Exposed, Fibril + Extracellular, Matrix, Adamts13 + Protein, Signaling, Binding","hsa-miR-29c-3p,
hsa-miR-29b-3p,
hsa-miR-29a-3p"
14,Not Significant,"hsa-miR-186-5p,
hsa-let-7a-3p,
hsa-miR-199a-5p"
15,"Regulation, Negative, Muscle + Binding, Receptor, Signaling + Cycle, Gtpase, Transport","hsa-miR-148a-3p,
hsa-miR-148b-3p,
hsa-miR-126-3p"
16,Not Significant,"hsa-miR-361-5p,
hsa-miR-660-5p,
hsa-miR-374a-3p"
