Community,Functions,Top 3 miRNAs
1,"Cellular, Responses, Regulation + Rna, Genes, Ii + Translation, Cytoplasmic, Disease","hsa-let-7b-5p,
hsa-let-7e-5p,
hsa-let-7c-5p"
2,"Regulation, Apoptosis, Apoptotic + Cell, Cycle, Mitotic + Protein, Binding, Regulation","hsa-miR-106b-5p,
hsa-miR-93-5p,
hsa-miR-17-5p"
3,"Metabolism, Reabsorption, Regulated + Immune, Cellular, Regulation + Transport, Golgi, Modification","hsa-miR-92a-3p,
hsa-miR-92b-3p,
hsa-miR-25-3p"
4,"Binding, Variant, Vwf + Collagen, Adhesion, Platelet + Matrix, Extracellular, Organization","hsa-miR-186-5p,
hsa-miR-29a-3p,
hsa-miR-192-5p"
5,"Cell, Regulation, Positive + Vitamin, Akt, Pi3k + Insulin, Signaling, Factor","hsa-miR-27b-3p,
hsa-miR-128-3p,
hsa-miR-27a-3p"
6,"Transport, Endosome, Pathway + Protein, Binding, Host + Sumoylation, Proteins, Chromatin","hsa-miR-23b-3p,
hsa-miR-181a-5p,
hsa-miR-181c-5p"
7,"Insulin, Synthase, Pathway + Mitotic, Cycle, Regulation + Signaling, Interleukin, Regulation","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-107"
8,"Development, Cartilage, Bronchus + Signaling, Receptor, Binding + Actin, Binding, Transport","hsa-miR-375,
hsa-miR-222-3p,
hsa-miR-221-3p"
9,"Glycolysis, Biosynthetic, Process + Metabolism, Metabolic, Process + Ribosomal, Ribosome, Subunit","hsa-miR-320a,
hsa-miR-744-5p,
hsa-miR-423-5p"
10,"Protein, Genes, Mir + Regulation, Ion, Rrna + Glycan, Golgi, Antennae","hsa-miR-30a-5p,
hsa-miR-30b-5p,
hsa-miR-30c-5p"
11,"Activity, Acetyltransferase, Helicase + Binding, Regulation, Signaling","hsa-miR-24-3p,
hsa-miR-769-5p,
hsa-miR-378a-5p"
12,"Binding, Gtpases, Rho + Regulation, Dna, Transcription + Protein, Folding, Chaperone","hsa-miR-193b-3p,
hsa-miR-30a-3p,
hsa-miR-342-3p"
13,"Dna, Replication, Initiation + Cancer, Carcinoma, Causes + Signaling, Pathway, Cov","hsa-miR-34a-5p,
hsa-miR-145-5p,
hsa-miR-193a-5p"
14,"Protein, Kinase, Negative + Apoptotic, Process, Pathway + Cycle, Cell, Genes","hsa-miR-125b-5p,
hsa-miR-125a-5p,
hsa-miR-199a-5p"
15,"Ion, Transmembrane, Transport + Rna, Ligase, Assembly + Causes, Defective, G2","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-365a-3p"
16,"Bicarbonate, Heart, Hsa04964 + Genes, Mir, Targeted","hsa-miR-100-5p,
hsa-miR-455-3p,
hsa-miR-99a-5p"
17,"Binding, Decay, Rrna + Signaling, Regulation, Cellular + Translation, Eukaryotic, Initiation","hsa-miR-484,
hsa-miR-423-3p,
hsa-miR-1307-3p"
18,Not Significant,"hsa-miR-142-3p,
hsa-miR-146a-5p,
hsa-miR-361-3p"
19,Not Significant,"hsa-miR-21-5p,
hsa-miR-134-5p,
hsa-miR-127-5p"
20,Not Significant,"hsa-miR-143-5p,
hsa-miR-150-5p"
21,"Activity, Cellular, Dehydrogenase + Binding, Dna, Signaling + Transport, Development, Regulation","hsa-miR-10a-5p,
hsa-miR-10b-5p,
hsa-miR-181a-3p"
22,"Initiation, Translation, Complex + Cellular, Response, Responses + Degradation, Diseases, Lysosome","hsa-miR-155-5p,
hsa-miR-106b-3p"
23,"Antigen, Class, Mhc + Cell, Cellular, Division","hsa-miR-152-3p,
hsa-miR-148b-3p,
hsa-miR-148a-3p"
