Community,Functions,Top 3 miRNAs
1,"Cycle, Acid, Citric + Transport, Golgi, Protein + Binding, Gtpases, Gtpase","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-15b-5p"
2,"Receptor, Beta, Signaling + Activity, Kinase, Serine + Actin, Localization, Filament","hsa-miR-17-5p,
hsa-miR-106b-5p,
hsa-miR-20a-5p"
3,Not Significant,"hsa-let-7b-5p,
hsa-miR-98-5p,
hsa-let-7c-5p"
4,"Ubiquitin, Protein, Activity + Signaling, Gtpases, Receptors + Binding, Actin, Electron","hsa-miR-125b-5p,
hsa-miR-30a-5p,
hsa-miR-10a-5p"
5,Not Significant,"hsa-miR-92a-3p,
hsa-miR-455-3p,
hsa-miR-92b-3p"
6,"Nfe2l2, Associated, Genes + Protein, Ubiquitin, Endosome + Dna, Replication, Endodermal","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-101-3p"
7,"Integrin, Binding, Interactions + Regulation, Cell, Adhesion + Collagen, Process, Biosynthetic","hsa-miR-143-3p,
hsa-miR-29c-3p,
hsa-miR-145-5p"
8,"Glucagon, Signaling, Regulation + Mrna, Binding, Splicing + Genes, Mir, Targeted","hsa-miR-155-5p,
hsa-miR-24-3p,
hsa-miR-22-3p"
9,"Adhesion, Cell, Matrix + Atf6, Alpha, Activates + Signaling, Development, Activation","hsa-miR-221-3p,
hsa-miR-185-5p,
hsa-miR-200c-3p"
10,Not Significant,"hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-128-3p"
11,"Rna, Assembly, Binding + Cellular, Rev, Signaling + Infection, Cov, Disease","hsa-miR-27b-3p,
hsa-miR-23b-3p,
hsa-miR-28-5p"
12,Not Significant,"hsa-miR-21-5p,
hsa-miR-197-3p,
hsa-let-7a-3p"
13,"Cov, Sars, Infection + Degradation, Proteasome, Mediated + Pathway, Signaling, Amyotrophic","hsa-miR-30b-5p,
hsa-miR-30c-5p,
hsa-miR-30e-5p"
14,"Transport, Membrane, Plasma + Process, Metabolism, Activity + Cell, Differentiation, Regulation","hsa-miR-484,
hsa-miR-199a-3p,
hsa-miR-199b-3p"
15,"Mrna, Process, Dependent + Binding, Nuclear, Receptor + Activator, Hydroperoxide, Repressor","hsa-miR-142-3p,
hsa-miR-27a-3p,
hsa-miR-374a-5p"
16,Not Significant,"hsa-miR-148b-3p,
hsa-miR-148a-3p,
hsa-miR-140-3p"
17,"Mrna, Binding, Splicing + Cellular, Interleukin, Response","hsa-miR-186-5p,
hsa-miR-21-3p,
hsa-miR-338-3p"
18,"Angiogenesis, Binding, Endothelial + Genes, Mir, Targeted","hsa-miR-320a,
hsa-miR-9-5p,
hsa-miR-127-3p"
