Community,Functions,Top 3 miRNAs
1,"Metabolism, Process, Metabolic + Dna, Replication, Activity + Ribosomal, Activity, Cycle","hsa-miR-484,
hsa-miR-455-3p,
hsa-miR-222-3p"
2,"Signaling, Ras, Mutants + Rrna, Trna, Metabolism + Mitotic, Sister, Chromatid","hsa-let-7b-5p,
hsa-let-7a-5p,
hsa-let-7f-5p"
3,"Cell, Regulation, Migration + Activity, Helicase, Atp + Binding, Dna, Chromatin","hsa-miR-155-5p,
hsa-miR-34a-5p,
hsa-miR-21-5p"
4,"Transport, Golgi, Binding + Autophagy, Infection, Pathways","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-15b-5p"
5,"Endocytosis, Endosome, Mediated + Junction, Gap, G2 + Protein, Plasma, Metabolism","hsa-miR-92a-3p,
hsa-miR-92b-3p,
hsa-miR-25-3p"
6,"Signaling, Immune, Interleukin + Signaling, Cycle, Alk + Signaling, Cell, Collapse","hsa-miR-17-5p,
hsa-miR-93-5p,
hsa-miR-20a-5p"
7,"Nervous, Postsynaptic, Development + Regulation, Translational, Transport + Binding, Mrna, Rna","hsa-miR-30a-5p,
hsa-miR-30b-5p,
hsa-miR-30c-5p"
8,"Collagen, Vwf, Variant + Ubiquitin, Protein, Catabolic + Rho, Cycle, Gtpase","hsa-miR-29a-3p,
hsa-miR-29b-3p,
hsa-miR-29c-3p"
9,"Activity, Histone, H3k4 + Translation, Initiation, Elongation + Sumoylation, Proteins, Modification","hsa-miR-186-5p,
hsa-miR-324-5p,
hsa-miR-324-3p"
10,"Process, Glycolysis, Acid + Protein, Mitochondrial, Atp + Binding, Akt, Mtor","hsa-miR-125b-5p,
hsa-miR-125a-5p,
hsa-miR-145-5p"
11,"Binding, P53, Syndecan + Mutants, Ctnnb1, Signaling + Mrna, Processing, Intronless","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-425-5p"
12,"Activity, Peroxiredoxin, Antioxidant + Regulation, Cellular, Negative + Binding, Protein, Dna","hsa-miR-100-5p,
hsa-miR-23b-3p,
hsa-miR-101-3p"
13,Not Significant,"hsa-miR-24-3p,
hsa-miR-27a-3p,
hsa-miR-27b-3p"
14,"Signaling, Activation, Autophagosome + Protein, Autophagy, Calnexin","hsa-miR-197-3p,
hsa-miR-148a-3p,
hsa-miR-152-3p"
15,"Activity, Binding, Response + Transport, Protein, Golgi + Regulation, Signaling, Positive","hsa-miR-181b-5p,
hsa-miR-181a-5p,
hsa-miR-378a-3p"
16,"Activity, Kinase, Inositol + Endocytic, Protein, Recycling","hsa-miR-142-3p,
hsa-miR-221-3p,
hsa-miR-361-3p"
17,"Binding, 92, Ancient + Signaling, Pathway, Signalling","hsa-miR-146a-5p,
hsa-miR-423-5p,
hsa-miR-146b-5p"
18,"Causes, Cellular, Cftr + Amyotrophic, Catabolic, Decarboxylase","hsa-miR-10a-5p,
hsa-miR-320a,
hsa-miR-10b-5p"
19,Not Significant,"hsa-miR-342-3p,
hsa-miR-143-3p"
