Community,Functions,Top 3 miRNAs
1,"Regulation, Tp53, Metabolism + Signal, Metabolism, Amplification + Process, Biosynthetic, Biosynthesis","hsa-miR-30a-5p,
hsa-miR-125b-5p,
hsa-miR-26a-5p"
2,"Signaling, Receptor, Csf + Protein, Proteasome, Ubiquitin + Degradation, Mediated, Apc","hsa-let-7c-5p,
hsa-miR-100-5p,
hsa-miR-23b-3p"
3,"Signaling, Regulation, Protein + Transport, Protein, Membrane + Cellular, Factor, Growth","hsa-miR-19b-3p,
hsa-miR-19a-3p,
hsa-miR-17-5p"
4,"Regulation, Signal, Positive + Binding, Signaling, Factor + Transport, Membrane, Assembly","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-15a-5p"
5,"Signaling, Ras, Mutants + Splicing, Mrna, Spliceosome + Nuclear, Pore, Complex","hsa-miR-27b-3p,
hsa-miR-145-5p,
hsa-miR-30a-3p"
6,Not Significant,"hsa-miR-192-5p,
hsa-miR-215-5p,
hsa-miR-484"
7,"Cellular, Response, Responses + Regulation, Rna, Transcription + Protein, Ubiquitination, Linked","hsa-miR-26b-5p,
hsa-miR-155-5p,
hsa-miR-24-3p"
8,"Disassembly, Granule, Macroautophagy + Signaling, Binding, Insulin + Protein, Activity, Development","hsa-miR-34a-5p,
hsa-miR-375,
hsa-miR-142-3p"
9,"Rna, Binding, Esr + Signaling, Cellular, Cell + Cell, Signaling, Adhesion","hsa-miR-98-5p,
hsa-let-7d-5p,
hsa-let-7g-5p"
10,"Protein, Transport, Membrane + Interactions, Laminin, Ncam + Collagen, Extracellular, Matrix","hsa-miR-29c-3p,
hsa-miR-455-3p,
hsa-miR-193b-3p"
11,Not Significant,"hsa-miR-130a-3p,
hsa-miR-9-5p,
hsa-miR-10b-5p"
12,"Signaling, 17, Blood + Signaling, 10q11, 21q11 + Regulation, Activation, Cell","hsa-miR-30b-5p,
hsa-miR-30e-5p,
hsa-miR-30c-5p"
13,"Epithelial, Beta, Cells + Signaling, Heterotrimer, Smad2 + Translation, Decay, Eukaryotic","hsa-miR-181c-5p,
hsa-miR-140-3p,
hsa-miR-181a-5p"
14,Not Significant,"hsa-miR-27a-3p,
hsa-miR-148a-3p,
hsa-miR-148b-3p"
15,"Activity, Membrane, Metabolism + Amino, Ribosomal, Ribosome + Translation, Eukaryotic, Elongation","hsa-miR-342-3p,
hsa-miR-126-5p,
hsa-miR-22-3p"
16,Not Significant,hsa-miR-150-5p
