Community,Functions,Top 3 miRNAs
1,"Development, Morphogenesis, Axon + Regulation, Positive, Negative + Collagen, Type, Biosynthesis","hsa-miR-155-5p,
hsa-miR-21-5p,
hsa-miR-29a-3p"
2,"Binding, Rna, Protein + Rrna, Processing, Trna + Ribosomal, Cell, Ribosome","hsa-miR-26b-5p,
hsa-miR-181b-5p,
hsa-miR-181a-5p"
3,"Cellular, Response, Stress + Cycle, Metabolism, Tca + Regulation, Degradation, Proteasome","hsa-miR-92a-3p,
hsa-miR-92b-3p,
hsa-miR-193b-3p"
4,"Golgi, Vesicle, Endocytosis + Regulation, Negative, Positive + Transport, Vesicle, Mediated","hsa-miR-17-5p,
hsa-miR-93-5p,
hsa-miR-20a-5p"
5,"Actin, Activator, Depolymerization + Translation, Eukaryotic, Formation + Translation, Cytoplasmic, Ribosomal","hsa-miR-218-5p,
hsa-miR-34a-5p,
hsa-miR-375"
6,"Histone, H3k4, Activity + Binding, Regulation, Rna + Signaling, Kinase, Protein","hsa-miR-186-5p,
hsa-miR-27a-3p,
hsa-miR-27b-3p"
7,"Cycle, Cell, Cellular + Genes, Mir, Mismatch + Membrane, Vesicle, Protein","hsa-miR-15a-5p,
hsa-miR-103a-3p,
hsa-miR-424-5p"
8,"Protein, Ubiquitin, Binding + Chaperone, Assembly, Protein + Ribosomal, Metabolism, Ribosome","hsa-miR-320a,
hsa-miR-455-3p,
hsa-miR-744-5p"
9,"Endoplasmic, Reticulum, Membrane + Translation, Initiation, Cytoplasmic + Transcription, Polymerase, Rna","hsa-miR-30a-5p,
hsa-miR-30b-5p,
hsa-miR-30c-5p"
10,"Protein, Sumoylation, Trna + Translation, Regulation, Reinitiation + Binding, Rna, Acid","hsa-let-7a-5p,
hsa-let-7c-5p,
hsa-let-7b-5p"
11,"Transport, Metabolism, Electron + Protein, Process, Proteasome + Hiv, Elongation, Tat","hsa-miR-10a-5p,
hsa-miR-125b-5p,
hsa-miR-125a-5p"
12,Not Significant,"hsa-miR-24-3p,
hsa-miR-769-5p,
hsa-miR-205-5p"
13,Not Significant,"hsa-miR-192-5p,
hsa-miR-374b-5p,
hsa-miR-374a-5p"
14,Not Significant,"hsa-miR-365a-3p,
hsa-miR-365b-3p"
