Community,Functions,Top 3 miRNAs
1,"Metabolism, Acid, Fatty + Chromatin, Genes, Mir","hsa-miR-155-5p,
hsa-miR-21-5p,
hsa-miR-142-3p"
2,"Cellular, Responses, Cell + Dna, Complex, Decay + Protein, Actin, Regulation","hsa-miR-484,
hsa-miR-331-3p,
hsa-miR-128-3p"
3,"Golgi, Activated, Cascade + Vesicle, Biogenesis, Cell + Ubiquitin, Protein, Activity","hsa-miR-93-5p,
hsa-miR-106b-5p,
hsa-miR-17-5p"
4,"Ner, Protein, Repair + Binding, Rna, Mrna + Translation, G1, Initiation","hsa-let-7b-5p,
hsa-miR-98-5p,
hsa-let-7a-5p"
5,"Binding, Protein, Transport + Signaling, Pathway, Receptor + Circadian, Coli, Escherichia","hsa-miR-15a-5p,
hsa-miR-16-5p,
hsa-miR-103a-3p"
6,"Regulation, Signaling, Cell + Mitotic, Anaphase, Synaptic + Degradation, Proteasome, Mediated","hsa-miR-92a-3p,
hsa-miR-92b-3p,
hsa-miR-32-5p"
7,"Transport, Protein, Golgi + Unfolded, Protein, Response + Activates, Chaperone, Androgen","hsa-miR-222-3p,
hsa-miR-375,
hsa-miR-221-3p"
8,"Receptor, Signaling, Axon + Protein, Translation, Membrane + Development, Nervous, Autonomic","hsa-miR-186-5p,
hsa-miR-195-5p,
hsa-miR-22-3p"
9,"Ribosomal, Protein, Subunit + Signaling, Wnt, Disease + Complex, Decay, Nmd","hsa-miR-26b-5p,
hsa-miR-26a-5p,
hsa-miR-374a-5p"
10,"Ikk, Irak1, Recruits + Signaling, Binding, Receptor + Mitophagy, Disease, Hsa05012","hsa-miR-27a-3p,
hsa-miR-24-3p,
hsa-miR-744-5p"
11,"Mesenchyme, Morphogenesis, Metanephric + Mrna, Cell, Transcription + Translation, Regulation","hsa-miR-34a-5p,
hsa-miR-183-5p,
hsa-miR-182-5p"
12,"Erbb2, Resistance, Mutants + Positive, Regulation, Assembly + Genes, Mir, Targeted","hsa-miR-30a-5p,
hsa-miR-30c-5p,
hsa-miR-30e-5p"
13,"Cell, Adhesion, Myeloid + Binding, Complex, Decay + Cellular, Negative, Regulation","hsa-miR-218-5p,
hsa-miR-320a,
hsa-miR-192-5p"
14,Not Significant,"hsa-miR-181a-5p,
hsa-miR-181b-5p,
hsa-miR-181d-5p"
15,"Regulation, Cell, Response + Rna, Transcription, Metabolism + Actin, Cytoskeleton, Binding","hsa-miR-141-3p,
hsa-miR-324-5p,
hsa-miR-200c-3p"
16,Not Significant,"hsa-miR-30c-2-3p,
hsa-miR-30e-3p,
hsa-miR-30a-3p"
17,"Extracellular, Matrix, Organization + Biosynthesis, Cholesterol, Process + Genes, Mir, Targets","hsa-miR-29b-3p,
hsa-miR-29a-3p,
hsa-miR-29c-3p"
18,"Coa, Process, Activity + Regulation, Positive, Cell + Regulation, Transcription, Binding","hsa-miR-365a-3p,
hsa-miR-199a-3p,
hsa-miR-378a-3p"
19,"Mrna, Process, 107 + Activation, Regulation, Cd28 + Signaling, Pathway, Factors","hsa-miR-125b-5p,
hsa-miR-125a-5p"
20,"Binding, Actin, Androgen + Transport, Golgi, Protein","hsa-miR-145-5p,
hsa-miR-342-3p,
hsa-miR-106b-3p"
