Community,Functions,Top 3 miRNAs
1,"Telomere, Telomerase, Strand + Transport, Mitochondrial, Activity + Protein, Binding, Complex","hsa-let-7b-5p,
hsa-miR-26b-5p,
hsa-miR-24-3p"
2,"Mrna, Rna, Binding + Viral, Host, Hiv + Cycle, Assembly, Acid","hsa-miR-16-5p,
hsa-miR-15b-5p,
hsa-miR-15a-5p"
3,"Notch1, Signaling, Domain + Transport, Golgi, Anterograde + Genes, Mir, Targeted","hsa-miR-484,
hsa-miR-193b-3p,
hsa-miR-185-5p"
4,"Dna, Cytosine, Methyltransferase + Cell, Apoptotic, Maturation + Regulation, Signaling, Negative","hsa-miR-218-5p,
hsa-miR-29a-3p,
hsa-miR-29b-3p"
5,"Regulation, Immune, Positive + Binding, Alk, Kinase + Signaling, Pathway, Tgf","hsa-miR-17-5p,
hsa-miR-93-5p,
hsa-miR-106b-5p"
6,"Respiratory, Syncytial, Virus + Golgi, Retrograde, Exchange + Protein, Regulation, Lysosome","hsa-miR-19b-3p,
hsa-miR-19a-3p,
hsa-miR-130a-3p"
7,Not Significant,"hsa-miR-92a-3p,
hsa-miR-32-5p,
hsa-miR-92b-3p"
8,"Process, Biosynthetic, Biosynthesis + Activity, Deacetylase, Hydrolytic + Activity, Histone, Regulation","hsa-miR-21-5p,
hsa-miR-10a-5p,
hsa-miR-339-5p"
9,Not Significant,"hsa-miR-155-5p,
hsa-miR-365a-3p,
hsa-miR-365b-3p"
10,"Regulation, Cdh11, Function + Mediated, Transport, Vesicle + Adhesion, Cell, Binding","hsa-miR-98-5p,
hsa-let-7d-5p,
hsa-miR-744-5p"
11,"Aspartate, Process, Metabolism + Translation, Eukaryotic, Initiation + Regulation, Positive, Activity","hsa-miR-181d-5p,
hsa-miR-181c-5p"
