Community,Functions,Top 3 miRNAs
1,"Regulation, Response, Phosphorylation + Signaling, Beta, Tgf + Protein, Ubiquitin, Binding","hsa-miR-17-5p,
hsa-miR-20a-5p,
hsa-miR-93-5p"
2,"Cancer, Autophagy, Cell + Rrna, Cytosol, Ssu + Processing, Mrna, Translation","hsa-miR-16-5p,
hsa-miR-15a-5p,
hsa-miR-15b-5p"
3,"Diphosphate, Activity, Biosynthetic + Anaphase, Mitotic, 126 + Mrna, Binding, Transport","hsa-let-7b-5p,
hsa-let-7a-5p,
hsa-let-7f-5p"
4,"Gtpases, Rho, Signaling + Membrane, Plasma, Glut4","hsa-miR-92a-3p,
hsa-miR-32-5p,
hsa-miR-92b-3p"
5,"Eif2, Gdp, Nitrosative + Protein, Binding, Transport + Mitotic, G1, G2","hsa-miR-30a-5p,
hsa-miR-30d-5p,
hsa-miR-30b-5p"
6,"Process, Mrna, Catabolic + Signaling, Pathway, Fatty + Binding, Protein, Positive","hsa-miR-128-3p,
hsa-miR-181b-5p,
hsa-miR-181a-5p"
7,"Cell, Division, Assembly + Microtubule, Binding, Astral + Stress, Activates, Atf4","hsa-miR-21-5p,
hsa-miR-10a-5p,
hsa-miR-221-3p"
8,"Strand, Telomere, Dna + Cellular, Responses, Stress + Nuclear, Pore, Breakdown","hsa-miR-27a-3p,
hsa-miR-185-5p,
hsa-miR-27b-3p"
9,"Regulation, Positive, Protein + Protein, Process, Activity + Cell, Development, Mediated","hsa-miR-320a,
hsa-miR-23b-3p,
hsa-miR-423-5p"
10,"Ceruloplasmin, Dimethylargininase, L13a + Rrna, Snrnp, Processing + Metabolism, Acid, Amino","hsa-miR-193b-3p,
hsa-miR-34a-5p,
hsa-miR-423-3p"
11,"Coa, Beta, Oxidation + Complex, Decay, Nmd + Translation, Ribosomal, Eukaryotic","hsa-miR-100-5p,
hsa-miR-192-5p,
hsa-miR-324-3p"
12,"Regulation, Cell, Negative + Genes, Pathway, Signaling + Assembly, Cilium, Binding","hsa-miR-149-5p,
hsa-miR-22-3p,
hsa-miR-378a-3p"
13,"Cell, Closure, Copi + Golgi, Transport, Asparagine","hsa-miR-484,
hsa-miR-183-5p,
hsa-miR-197-3p"
14,"Collagen, Fibril, Fibrils + Transport, Interactions, Mediated + Binding, Dna, Rna","hsa-miR-29b-3p,
hsa-miR-29c-3p,
hsa-miR-29a-3p"
15,Not Significant,"hsa-miR-142-3p,
hsa-miR-331-3p,
hsa-miR-125a-5p"
16,"Mismatch, Repair, Runx1 + Binding, Chromatin, Dna + Mrna, Splicing, Regulation","hsa-miR-155-5p,
hsa-miR-186-5p,
hsa-let-7a-3p"
17,"Activity, Cell, Ciliary + Rna, Elongation, Ii + Mrna, Splicing, Pathway","hsa-miR-26b-5p,
hsa-miR-24-3p,
hsa-let-7d-3p"
18,"Regulation, Cell, Negative + Signaling, Pathway, Kb + Carcinoma, Altered, Chondrocyte","hsa-miR-125b-5p,
hsa-miR-199a-5p,
hsa-miR-769-5p"
19,"Binding, Chain, Integrin + Cell, G1, Matrix + Activity, Kinase, Protein","hsa-miR-200b-3p,
hsa-miR-200c-3p,
hsa-miR-205-5p"
