Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	51	31.48148148148148	1.5484234013565328E-18	6152, 6434, 8570, 3837, 3313, 3312, 11344, 6426, 9939, 84285, 6628, 220988, 6165, 6520, 10262, 8148, 1981, 55379, 84991, 22919, 7329, 54888, 10147, 92609, 3921, 25804, 292, 3185, 10914, 1994, 149986, 2521, 124245, 5315, 6728, 4869, 8880, 3190, 6187, 7037, 2023, 26986, 23435, 8087, 3151, 23193, 3304, 10969, 51154, 23076, 5725	161	1473	19208	4.130700433897105	6.859515668009441E-16	6.859515668009441E-16	6.782094497941614E-16
REACTOME_PATHWAY	R-HSA-8953854~Metabolism of RNA	34	20.98765432098765	1.9273218400649556E-12	25804, 6152, 6434, 3185, 8570, 5717, 5719, 1994, 10914, 2521, 3312, 23165, 11047, 6426, 5437, 5515, 9939, 6628, 220988, 3190, 6165, 6187, 10262, 26986, 79084, 3304, 10969, 1981, 84991, 207, 54888, 5689, 3921, 5725	128	713	11153	4.15500087657784	1.7288304121620968E-9	1.7288076905382652E-9	1.4956017478904055E-9
GOTERM_MF_DIRECT	GO:0005515~protein binding	150	92.5925925925926	3.607490543392617E-12	6472, 4173, 9862, 7167, 10092, 7322, 10928, 191, 25989, 353, 10938, 23165, 515, 11344, 51248, 84285, 1857, 8408, 6628, 220988, 9112, 6520, 10262, 8148, 22880, 28985, 1350, 3098, 79084, 9110, 1349, 85406, 23054, 1981, 7844, 22919, 55856, 54888, 7329, 10147, 92609, 3921, 23420, 3021, 81628, 5717, 79036, 5719, 377, 10914, 1994, 149986, 124245, 11047, 5315, 54815, 54936, 4869, 5296, 5571, 57132, 3151, 23435, 2976, 10801, 23392, 3304, 1487, 51154, 7866, 5689, 5725, 4758, 3703, 6152, 47, 7001, 8694, 6434, 10295, 5862, 2870, 8570, 23523, 6390, 55486, 3837, 3313, 3312, 2907, 55527, 6426, 9939, 10456, 51727, 91289, 6165, 64763, 23133, 124583, 10987, 55379, 84991, 207, 208, 4898, 252839, 25804, 2010, 292, 25921, 3185, 23589, 1314, 2521, 71, 6603, 7416, 5515, 738, 6728, 26292, 8242, 3190, 8880, 6187, 5496, 7037, 5499, 64422, 4047, 2023, 26986, 23476, 7392, 8087, 80727, 23193, 55154, 10606, 10969, 56882, 23076, 10043, 4831, 4711, 4712, 2937, 10322, 1209	161	13670	19208	1.309118666709074	1.5980993195441329E-9	7.990591553614647E-10	7.900404290029831E-10
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	29	17.901234567901234	7.282817730758453E-10	25804, 6434, 3185, 8570, 23589, 1994, 10914, 2521, 6426, 9939, 6728, 84285, 4869, 6628, 220988, 4141, 8880, 3190, 6165, 10262, 8148, 26986, 23435, 8087, 1981, 84991, 54888, 92609, 5725	118	757	11859	3.8500660501981505	3.4957524319700894E-8	3.568580688071642E-8	3.568580688071642E-8
REACTOME_PATHWAY	R-HSA-450531~Regulation of mRNA stability by proteins that bind AU-rich elements	11	6.790123456790123	1.1370462509543304E-8	5717, 5719, 3304, 1994, 3312, 1981, 26986, 207, 11047, 5689, 8570	128	75	11153	12.779479166666667	1.0199252872267195E-5	3.6832012645074715E-6	3.1863591764300977E-6
REACTOME_PATHWAY	R-HSA-1643685~Disease	48	29.629629629629626	1.2438902373849196E-8	9862, 6152, 7001, 10092, 10295, 191, 3021, 292, 25921, 471, 5717, 353, 3837, 5719, 3312, 23165, 71, 11047, 5437, 5515, 1857, 54815, 4869, 6628, 5296, 3190, 6165, 9112, 6187, 6520, 8148, 5499, 2023, 23476, 3098, 8087, 23193, 3304, 1487, 207, 11253, 208, 7329, 5689, 2937, 3921, 4758, 3703	128	1821	11153	2.2967462932454694	1.1157633232783404E-5	3.6832012645074715E-6	3.1863591764300977E-6
REACTOME_PATHWAY	R-HSA-5663205~Infectious disease	34	20.98765432098765	1.6424531837268546E-8	9862, 6152, 10092, 292, 25921, 5717, 3837, 5719, 3312, 23165, 71, 11047, 5437, 1857, 54815, 4869, 6628, 3190, 6165, 9112, 6187, 8148, 5499, 2023, 23476, 23193, 3304, 207, 11253, 208, 7329, 5689, 3921, 3703	128	1008	11153	2.939003596230159	1.4732696659303102E-5	3.6832012645074715E-6	3.1863591764300977E-6
REACTOME_PATHWAY	R-HSA-9824446~Viral Infection Pathways	30	18.51851851851852	2.618501254472266E-8	9862, 6152, 292, 25921, 5717, 3837, 5719, 3312, 23165, 11047, 5437, 54815, 4869, 6628, 3190, 6165, 9112, 6187, 8148, 5499, 23476, 23193, 3304, 207, 11253, 208, 7329, 5689, 3921, 3703	128	817	11153	3.1994912790697674	2.3487680672618083E-5	4.697591250523245E-6	4.063913946940957E-6
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	15	9.25925925925926	3.8724468909949264E-8	6152, 8880, 3190, 6187, 6434, 26986, 8570, 8087, 149986, 1994, 1981, 5315, 6426, 9939, 5725	161	260	19208	6.882943143812708	1.715479293840083E-5	5.7183132423691746E-6	5.6537724608525925E-6
REACTOME_PATHWAY	R-HSA-1430728~Metabolism	52	32.098765432098766	5.7549192285862936E-8	6472, 9862, 6152, 7167, 47, 8694, 10295, 191, 6390, 471, 353, 3837, 3313, 23165, 515, 51248, 51727, 4141, 9551, 6165, 6520, 22880, 1350, 3098, 9110, 54480, 1349, 23054, 207, 7329, 55856, 3921, 5717, 5719, 377, 8703, 11047, 5315, 7416, 5515, 5296, 6187, 4047, 5499, 2023, 10606, 5689, 4831, 4711, 4712, 2937, 4758	128	2177	11153	2.081261483693156	5.1620294605703165E-5	8.60360424673651E-6	7.443028868971607E-6
